,1,2,3,4,5,6,7,8,9,normalized,total_demand,total_supply
all_closed,0.9234,0.7436,0.3238,0.7444,0.7578,0.3223,111237.037,16783.2129,0.7601,8.999560374778815,25.39141845703125,42.27528381347656
"(('V_CO', 'night'),)",0.8914,0.6657,0.3186,0.694,0.68,0.2135,133503.537,16956.5645,0.7027,8.983800538739734,23.673473358154297,38.63013458251953
"(('V_CO', 'morning'),)",0.8833,0.4614,0.3071,0.7035,0.6844,0.1187,205776.6608,17135.1816,0.7201,8.94828984760506,23.9947509765625,38.34269332885742
"(('V_G1', 'night'),)",0.92,0.7496,0.3215,0.7406,0.754,0.323,109653.0585,16795.5039,0.7565,8.953969007718674,25.262462615966797,42.28614044189453
"(('V_G1', 'morning'),)",0.9242,0.7436,0.3256,0.7468,0.7606,0.3223,111259.7533,16793.5039,0.7637,8.953617053758988,25.47210693359375,42.282066345214844
"(('V_G2', 'night'),)",0.923,0.726,0.3265,0.7399,0.7612,0.3174,118025.2318,16768.1543,0.7563,8.985015480458971,25.236557006835938,42.24979019165039
"(('V_G2', 'morning'),)",0.924,0.726,0.3252,0.7468,0.7599,0.3174,118373.2224,16759.8359,0.7644,8.95492394665439,25.473861694335938,42.23239517211914
"(('V_G3', 'night'),)",0.9242,0.7256,0.3255,0.742,0.7598,0.3163,118298.0971,16804.1367,0.7584,8.981561125497944,25.311315536499023,42.30355453491211
"(('V_G3', 'morning'),)",0.9277,0.7228,0.3312,0.7524,0.7669,0.3153,119372.7755,16771.4199,0.7712,8.828145050071605,25.663043975830078,42.2435302734375
"(('V_CO', 'night'), ('V_CO', 'morning'))",0.926,0.7464,0.3224,0.7462,0.7639,0.3216,110644.7192,16744.0391,0.7616,8.904547886657904,25.453880310058594,42.90092849731445
"(('V_CO', 'night'), ('V_G1', 'night'))",0.8905,0.6619,0.3186,0.6928,0.678,0.2096,134725.8739,16947.1426,0.7014,8.983800538739734,23.632816314697266,38.6117057800293
"(('V_CO', 'night'), ('V_G1', 'morning'))",0.8902,0.6876,0.3182,0.6947,0.6767,0.2205,126598.4366,16969.5,0.7024,8.982565384265484,23.696659088134766,38.634769439697266
"(('V_CO', 'night'), ('V_G2', 'night'))",0.8912,0.6738,0.3197,0.6925,0.6812,0.2103,131274.9098,16955.2285,0.7024,8.987197213543919,23.621959686279297,38.6236572265625
"(('V_CO', 'night'), ('V_G2', 'morning'))",0.8947,0.6692,0.3234,0.6988,0.69,0.2124,132524.0591,16938.8906,0.7085,8.998622392430727,23.83442497253418,38.610206604003906
"(('V_CO', 'night'), ('V_G3', 'night'))",0.8916,0.6777,0.3198,0.6922,0.6791,0.2135,130971.1297,16958.7168,0.7018,8.987506002162482,23.60970115661621,38.62253952026367
"(('V_CO', 'night'), ('V_G3', 'morning'))",0.8948,0.6601,0.3247,0.6968,0.6869,0.2011,134957.1225,16965.5469,0.7052,9.0,23.769489288330078,38.6386833190918
"(('V_CO', 'morning'), ('V_G1', 'night'))",0.8813,0.4336,0.3054,0.7008,0.6816,0.1261,211967.4317,17135.7793,0.7176,8.9430404410895,23.905593872070312,38.340660095214844
"(('V_CO', 'morning'), ('V_G1', 'morning'))",0.883,0.4625,0.3074,0.7034,0.6843,0.1117,205458.8409,17123.7637,0.7201,8.949216213460748,23.992393493652344,38.32754898071289
"(('V_CO', 'morning'), ('V_G2', 'night'))",0.8814,0.4421,0.3063,0.6995,0.6836,0.1124,210882.662,17133.3008,0.7169,8.945819538656561,23.859352111816406,38.34175109863281
"(('V_CO', 'morning'), ('V_G2', 'morning'))",0.8831,0.4773,0.3071,0.7033,0.6842,0.137,201069.6005,17135.0234,0.7193,8.94828984760506,23.989131927490234,38.34251403808594
"(('V_CO', 'morning'), ('V_G3', 'night'))",0.8836,0.4716,0.3067,0.7042,0.6854,0.1134,203274.5437,17145.8965,0.7214,8.947054693130811,24.020097732543945,38.483394622802734
"(('V_CO', 'morning'), ('V_G3', 'morning'))",0.8832,0.447,0.3071,0.7033,0.6848,0.1134,208353.6332,17135.1094,0.7202,8.94828984760506,23.9898738861084,38.342628479003906
"(('V_G1', 'night'), ('V_G1', 'morning'))",0.9234,0.7436,0.3238,0.7444,0.7578,0.3223,111237.037,16783.2129,0.7601,8.999560374778815,25.39141845703125,42.27528381347656
"(('V_G1', 'night'), ('V_G2', 'night'))",0.9171,0.746,0.3238,0.7322,0.7573,0.3226,111084.3901,16754.8125,0.7522,8.986875596643678,24.973779678344727,42.215248107910156
"(('V_G1', 'night'), ('V_G2', 'morning'))",0.9179,0.726,0.3206,0.7418,0.753,0.3174,118379.4054,16761.1582,0.7588,8.988662218823126,25.301273345947266,42.2335205078125
"(('V_G1', 'night'), ('V_G3', 'night'))",0.9233,0.7489,0.3267,0.7457,0.7626,0.323,110167.5686,16789.7637,0.765,8.923061009312102,25.437389373779297,42.277442932128906
"(('V_G1', 'night'), ('V_G3', 'morning'))",0.9201,0.7482,0.3223,0.7423,0.7549,0.3226,110365.5879,16796.3926,0.7581,8.968894665773421,25.31922721862793,42.288055419921875
"(('V_G1', 'morning'), ('V_G2', 'night'))",0.9231,0.7489,0.3272,0.7447,0.7629,0.3251,110129.3178,16777.0938,0.764,8.926095481674922,25.40186882019043,42.25255584716797
"(('V_G1', 'morning'), ('V_G2', 'morning'))",0.9193,0.7256,0.3225,0.744,0.7564,0.3177,118559.5191,16767.8926,0.7616,8.98855701846381,25.378278732299805,42.236019134521484
"(('V_G1', 'morning'), ('V_G3', 'night'))",0.9229,0.7436,0.3252,0.7462,0.7596,0.3219,111110.015,16770.1484,0.763,8.971226954213462,25.452585220336914,42.25177764892578
"(('V_G1', 'morning'), ('V_G3', 'morning'))",0.9237,0.7432,0.3269,0.746,0.7619,0.3223,111439.7468,16780.5605,0.7615,8.967030964470084,25.4464054107666,42.26689147949219
"(('V_G2', 'night'), ('V_G2', 'morning'))",0.9234,0.7436,0.3238,0.7444,0.7578,0.3223,111237.037,16783.2129,0.7601,8.999560374778815,25.39141845703125,42.27528381347656
"(('V_G2', 'night'), ('V_G3', 'night'))",0.9192,0.74,0.3334,0.7317,0.7701,0.3248,114312.0347,16669.3984,0.7577,8.938692649129035,24.957782745361328,42.09823989868164
"(('V_G2', 'night'), ('V_G3', 'morning'))",0.9237,0.7249,0.3281,0.7438,0.7635,0.3177,118766.198,16790.9648,0.7619,8.965190921751638,25.3717041015625,42.275569915771484
"(('V_G2', 'morning'), ('V_G3', 'night'))",0.9247,0.726,0.327,0.7414,0.7616,0.3174,118297.4666,16779.5742,0.7571,8.967383342626267,25.29025650024414,42.261837005615234
"(('V_G2', 'morning'), ('V_G3', 'morning'))",0.9216,0.7207,0.3248,0.7406,0.7585,0.3177,120914.0774,16747.748,0.7552,8.994946859192957,25.262638092041016,42.22726058959961
"(('V_G3', 'night'), ('V_G3', 'morning'))",0.9234,0.7436,0.3238,0.7444,0.7578,0.3223,111237.037,16783.2129,0.7601,8.999560374778815,25.39141845703125,42.27528381347656
"(('V_CO', 'night'), ('V_CO', 'morning'), ('V_G1', 'night'))",0.924,0.7267,0.3224,0.75,0.7646,0.3177,118101.1322,16710.3945,0.7691,8.895999539365434,25.582473754882812,42.84552764892578
"(('V_CO', 'night'), ('V_CO', 'morning'), ('V_G1', 'morning'))",0.9257,0.726,0.3244,0.754,0.7663,0.3167,118048.1203,16699.209,0.7734,8.837008458612873,25.71961212158203,42.81962203979492
"(('V_CO', 'night'), ('V_CO', 'morning'), ('V_G2', 'night'))",0.9249,0.7478,0.3237,0.7511,0.7666,0.3234,110479.6282,16708.3984,0.7716,8.840234861554821,25.619457244873047,42.83879470825195
"(('V_CO', 'night'), ('V_CO', 'morning'), ('V_G2', 'morning'))",0.9265,0.7267,0.3234,0.7524,0.7658,0.317,118088.5949,16720.502,0.7706,8.846446534568907,25.66292953491211,42.857200622558594
"(('V_CO', 'night'), ('V_CO', 'morning'), ('V_G3', 'night'))",0.9246,0.727,0.3218,0.7487,0.7631,0.3177,117985.8914,16721.7129,0.7661,8.91076845595312,25.53729248046875,42.870887756347656
"(('V_CO', 'night'), ('V_CO', 'morning'), ('V_G3', 'morning'))",0.9287,0.7256,0.3279,0.7533,0.771,0.3167,118842.7247,16732.4453,0.7714,8.791481881042332,25.693559646606445,42.872352600097656
"(('V_CO', 'night'), ('V_G1', 'night'), ('V_G1', 'morning'))",0.8914,0.6657,0.3186,0.694,0.68,0.2135,133503.537,16956.5645,0.7027,8.983800538739734,23.673473358154297,38.63013458251953
"(('V_CO', 'night'), ('V_G1', 'night'), ('V_G2', 'night'))",0.8891,0.6738,0.3199,0.6874,0.6805,0.2099,131347.8934,16955.3516,0.6982,8.987814790781044,23.447595596313477,38.60617446899414
"(('V_CO', 'night'), ('V_G1', 'night'), ('V_G2', 'morning'))",0.8913,0.6678,0.3205,0.6932,0.6795,0.2103,133478.2625,16945.4082,0.702,8.989667522492418,23.64395523071289,38.603050231933594
"(('V_CO', 'night'), ('V_G1', 'night'), ('V_G3', 'night'))",0.8905,0.6766,0.3198,0.6908,0.6813,0.2244,131673.3201,16946.3906,0.6992,8.987506002162482,23.563812255859375,38.622215270996094
"(('V_CO', 'night'), ('V_G1', 'night'), ('V_G3', 'morning'))",0.8929,0.6714,0.3239,0.695,0.6837,0.2103,132815.2575,16967.0371,0.7042,9.0,23.706945419311523,38.6346435546875
"(('V_CO', 'night'), ('V_G1', 'morning'), ('V_G2', 'night'))",0.8902,0.6904,0.3197,0.6939,0.6807,0.2152,125107.7438,16942.8965,0.7041,8.987197213543919,23.667545318603516,38.596378326416016
"(('V_CO', 'night'), ('V_G1', 'morning'), ('V_G2', 'morning'))",0.8916,0.6555,0.3215,0.6943,0.6829,0.1969,133191.4578,16932.8008,0.7045,8.992755408678043,23.68122100830078,38.62135314941406
"(('V_CO', 'night'), ('V_G1', 'morning'), ('V_G3', 'night'))",0.8901,0.6907,0.3183,0.6934,0.6786,0.2173,124777.3765,16956.1035,0.7024,8.982874172884046,23.650352478027344,38.618106842041016
"(('V_CO', 'night'), ('V_G1', 'morning'), ('V_G3', 'morning'))",0.8915,0.6981,0.3211,0.6954,0.682,0.2311,124088.3622,16956.4258,0.7043,8.991520254203794,23.721168518066406,38.63163375854492
"(('V_CO', 'night'), ('V_G2', 'night'), ('V_G2', 'morning'))",0.8914,0.6657,0.3186,0.694,0.68,0.2135,133503.537,16956.5645,0.7027,8.983800538739734,23.673473358154297,38.63013458251953
"(('V_CO', 'night'), ('V_G2', 'night'), ('V_G3', 'night'))",0.8859,0.6752,0.3215,0.679,0.6876,0.2268,132796.0009,16957.5742,0.6926,8.992755408678043,23.160181045532227,38.620906829833984
"(('V_CO', 'night'), ('V_G2', 'night'), ('V_G3', 'morning'))",0.8942,0.6566,0.3249,0.6945,0.6869,0.2096,137422.0759,16951.7656,0.7039,9.0,23.689491271972656,38.6137580871582
"(('V_CO', 'night'), ('V_G2', 'morning'), ('V_G3', 'night'))",0.8925,0.6397,0.3224,0.6931,0.6844,0.1849,138737.402,16940.5078,0.7039,8.995534506245104,23.6418514251709,38.60403060913086
"(('V_CO', 'night'), ('V_G2', 'morning'), ('V_G3', 'morning'))",0.8938,0.671,0.3247,0.696,0.6875,0.2124,133333.7857,16940.8867,0.7063,9.0,23.739797592163086,38.60500717163086
"(('V_CO', 'night'), ('V_G3', 'night'), ('V_G3', 'morning'))",0.8914,0.6657,0.3186,0.694,0.68,0.2135,133503.537,16956.5645,0.7027,8.983800538739734,23.673473358154297,38.63013458251953
"(('V_CO', 'morning'), ('V_G1', 'night'), ('V_G1', 'morning'))",0.8833,0.4614,0.3071,0.7035,0.6844,0.1187,205776.6608,17135.1816,0.7201,8.94828984760506,23.9947509765625,38.34269332885742
"(('V_CO', 'morning'), ('V_G1', 'night'), ('V_G2', 'night'))",0.8797,0.4435,0.3115,0.6947,0.6923,0.1117,209857.7305,17123.4609,0.7155,8.961876546821806,23.69637107849121,38.312255859375
"(('V_CO', 'morning'), ('V_G1', 'night'), ('V_G2', 'morning'))",0.8822,0.4755,0.3066,0.703,0.6832,0.1377,203016.5732,17135.6172,0.7208,8.946745904512248,23.97845458984375,38.335693359375
"(('V_CO', 'morning'), ('V_G1', 'night'), ('V_G3', 'night'))",0.8841,0.4354,0.311,0.7045,0.6897,0.1131,211899.1185,17137.752,0.7253,8.960332603728993,24.02887535095215,38.31222152709961
"(('V_CO', 'morning'), ('V_G1', 'night'), ('V_G3', 'morning'))",0.8822,0.441,0.3065,0.7032,0.6836,0.1148,210273.8314,17135.7383,0.7214,8.946437115893687,23.98581886291504,38.33596420288086
"(('V_CO', 'morning'), ('V_G1', 'morning'), ('V_G2', 'night'))",0.8816,0.4347,0.3072,0.7,0.6843,0.1095,211508.1049,17122.1621,0.7186,8.948598636223622,23.876380920410156,38.32346725463867
