,1,2,3,4,5,6,7,8,9,normalized,total_demand,total_supply
all_closed,0.9249,0.7763,0.3308,0.7515,0.7675,0.3695,97450.0951,16817.2695,0.7667,8.999805737612418,25.634374618530273,42.541229248046875
"(('V_CO', 'night'),)",0.8952,0.7203,0.3282,0.6972,0.6891,0.2592,111897.8588,16954.4219,0.6987,8.991996479177578,23.782344818115234,38.950889587402344
"(('V_CO', 'morning'),)",0.8923,0.4847,0.3176,0.7173,0.71,0.1659,187050.0602,17066.9082,0.7282,8.959957592281533,24.466197967529297,39.50586700439453
"(('V_MV1', 'night'),)",0.9143,0.7573,0.3246,0.716,0.7443,0.484,104683.3538,16748.7305,0.7145,8.795433129045723,24.421504974365234,41.79676055908203
"(('V_MV1', 'morning'),)",0.9239,0.7541,0.3258,0.7517,0.7619,0.3226,107055.6897,16795.5449,0.7688,8.973682373460976,25.641597747802734,42.29313278198242
"(('V_MV2', 'night'),)",0.9257,0.776,0.3321,0.75,0.7682,0.3688,97748.9591,16805.4082,0.7651,8.985787220116995,25.582447052001953,42.52060317993164
"(('V_MV2', 'morning'),)",0.9242,0.7732,0.3311,0.7483,0.7669,0.3684,98339.9456,16815.8164,0.7622,8.999913592914279,25.52342414855957,42.532562255859375
"(('CV7', 'night'),)",0.9259,0.776,0.3325,0.753,0.768,0.3684,97594.8433,16829.4375,0.77,8.964545964316228,25.68376350402832,42.537200927734375
"(('CV7', 'morning'),)",0.9214,0.7756,0.3265,0.745,0.7614,0.3688,98333.6414,16818.2227,0.7578,8.986858167128212,25.411090850830078,42.550437927246094
"(('CV9', 'night'),)",0.9253,0.776,0.3317,0.7507,0.7675,0.3688,97747.4007,16805.9336,0.7662,8.99411343753448,25.60592269897461,42.518062591552734
"(('CV9', 'morning'),)",0.9233,0.7735,0.3304,0.7465,0.7657,0.3684,98218.7514,16815.9766,0.7597,8.998569178313167,25.46213150024414,42.535499572753906
"(('V_CO', 'night'), ('V_CO', 'morning'))",0.9281,0.7774,0.3317,0.754,0.7761,0.3688,97458.0225,16742.1211,0.7683,8.894416384673494,25.72027015686035,43.10409927368164
"(('V_CO', 'night'), ('V_MV1', 'night'))",0.8792,0.6798,0.3223,0.6543,0.6418,0.2138,125897.6674,16958.8066,0.6441,8.97416351382978,22.31941795349121,36.21010971069336
"(('V_CO', 'night'), ('V_MV1', 'morning'))",0.893,0.6619,0.3236,0.6949,0.6845,0.2117,132969.6375,16957.2461,0.7007,8.978092811279295,23.704116821289062,38.637306213378906
"(('V_CO', 'night'), ('V_MV2', 'night'))",0.8971,0.714,0.3304,0.7002,0.694,0.2614,111726.8969,16969.8047,0.7043,8.998646059476759,23.883880615234375,38.92231750488281
"(('V_CO', 'night'), ('V_MV2', 'morning'))",0.895,0.7249,0.3287,0.6974,0.6903,0.2659,110596.3656,16967.8262,0.6996,8.993507747427392,23.788860321044922,38.91802215576172
"(('V_CO', 'night'), ('CV7', 'night'))",0.8947,0.7193,0.3297,0.6969,0.6899,0.2652,112787.5373,16961.0957,0.6989,8.996530283927019,23.77289390563965,38.89318084716797
"(('V_CO', 'night'), ('CV7', 'morning'))",0.8951,0.7274,0.3284,0.697,0.6889,0.2691,110646.2605,16962.0957,0.6984,8.992600986477504,23.774307250976562,38.94912338256836
"(('V_CO', 'night'), ('CV9', 'night'))",0.8966,0.7214,0.3304,0.6995,0.6931,0.2635,110370.7427,16967.7539,0.7025,8.998646059476759,23.85858726501465,38.90620040893555
"(('V_CO', 'night'), ('CV9', 'morning'))",0.8942,0.7055,0.3279,0.6962,0.688,0.254,114431.1194,16963.041,0.6982,8.991089718227691,23.746318817138672,38.91675567626953
"(('V_CO', 'morning'), ('V_MV1', 'night'))",0.8842,0.5812,0.3144,0.6857,0.6931,0.1603,160094.9365,17011.9453,0.6789,8.950285475482726,23.39005470275879,38.762176513671875
"(('V_CO', 'morning'), ('V_MV1', 'morning'))",0.8831,0.435,0.3068,0.7026,0.6848,0.1117,212030.4599,17135.6914,0.7183,8.927314198085561,23.96404266357422,38.34436798095703
"(('V_CO', 'morning'), ('V_MV2', 'night'))",0.8941,0.5759,0.3187,0.7202,0.712,0.1884,155709.4637,17083.709,0.731,8.963282382431121,24.565887451171875,39.504878997802734
"(('V_CO', 'morning'), ('V_MV2', 'morning'))",0.8922,0.4896,0.3206,0.7161,0.7118,0.1652,186475.2415,17064.7812,0.7268,8.969025201780413,24.424556732177734,39.45988845825195
"(('V_CO', 'morning'), ('CV7', 'night'))",0.8921,0.5206,0.3183,0.7155,0.7108,0.1708,179910.6138,17031.2305,0.7255,8.962073367831271,24.40459632873535,39.458961486816406
"(('V_CO', 'morning'), ('CV7', 'morning'))",0.8922,0.497,0.3195,0.7151,0.7115,0.1684,185234.4613,17053.2441,0.7252,8.965700411630824,24.392356872558594,39.46992492675781
"(('V_CO', 'morning'), ('CV9', 'night'))",0.8943,0.6118,0.3188,0.7205,0.7121,0.2046,148799.4047,17083.7305,0.7308,8.963584636081084,24.575809478759766,39.50471115112305
"(('V_CO', 'morning'), ('CV9', 'morning'))",0.8925,0.534,0.3204,0.7164,0.7119,0.1747,176794.7211,17064.7812,0.7267,8.968420694480487,24.434890747070312,39.45712661743164
