,"('V_TR', 'day')","('V_TR', 'night')","('CV8', 'day')","('CV8', 'night')","('CV3', 'day')","('CV3', 'night')","('CV12', 'day')","('CV12', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0.8574,0.6044,0.3511,0.6932,0.6051,0.2159,138759.6249,14625.248,0.6044
1,0,0,0,0,0,0,0,1,0.8667,0.5724,0.3602,0.6986,0.6326,0.1884,151898.4084,14556.7871,0.6275
2,0,0,0,0,0,0,1,0,0.9111,0.6228,0.3649,0.7409,0.6801,0.1983,142925.5979,14625.2559,0.7594
3,0,0,0,0,0,0,1,1,0.9216,0.6661,0.3741,0.745,0.7087,0.2071,131933.1139,14522.5596,0.7653
4,0,0,0,0,0,1,0,0,0.8613,0.597,0.3522,0.6934,0.6145,0.211,142616.791,14764.0586,0.6262
5,0,0,0,0,0,1,0,1,0.8713,0.5861,0.3607,0.7006,0.6406,0.1958,148803.2197,14695.5898,0.6514
6,0,0,0,0,0,1,1,0,0.909,0.6168,0.3615,0.7292,0.6819,0.1923,146178.2528,14748.7646,0.7513
7,0,0,0,0,0,1,1,1,0.9172,0.6569,0.3684,0.7303,0.705,0.2008,135967.2974,14697.5908,0.7548
8,0,0,0,0,1,0,0,0,0.86,0.5918,0.3485,0.6937,0.6091,0.2184,140794.1549,14628.4648,0.6171
9,0,0,0,0,1,0,0,1,0.868,0.478,0.3562,0.6977,0.6322,0.1765,170036.6629,14611.3477,0.634
10,0,0,0,0,1,0,1,0,0.9136,0.608,0.3619,0.7403,0.6919,0.1913,148188.3229,14630.2891,0.7705
11,0,0,0,0,1,0,1,1,0.9248,0.6742,0.3715,0.7457,0.7217,0.2156,132767.7964,14527.6113,0.7746
12,0,0,0,0,1,1,0,0,0.8606,0.6076,0.3457,0.6883,0.6116,0.2191,137628.8087,14785.5527,0.6261
13,0,0,0,0,1,1,0,1,0.8704,0.5974,0.354,0.6957,0.6369,0.2043,143885.89,14768.4434,0.6512
14,0,0,0,0,1,1,1,0,0.9181,0.6069,0.3663,0.7469,0.7066,0.1906,149615.23,14768.9072,0.7813
15,0,0,0,0,1,1,1,1,0.9264,0.6742,0.3728,0.7488,0.7278,0.2156,132778.9631,14700.4775,0.7808
16,0,0,0,1,0,0,0,0,0.8578,0.6041,0.3517,0.6938,0.6068,0.2159,138843.1617,14625.25,0.6064
17,0,0,0,1,0,0,0,1,0.8669,0.571,0.3604,0.6986,0.6328,0.1877,152478.4125,14556.7871,0.6275
18,0,0,0,1,0,0,1,0,0.9112,0.6259,0.3651,0.741,0.6806,0.1987,142141.0301,14625.2549,0.76
19,0,0,0,1,0,0,1,1,0.9216,0.6661,0.3741,0.745,0.7086,0.2071,131982.6146,14522.5586,0.7653
20,0,0,0,1,0,1,0,0,0.8612,0.596,0.3524,0.6933,0.6154,0.211,142702.094,14746.9453,0.626
21,0,0,0,1,0,1,0,1,0.8719,0.5833,0.3612,0.7016,0.6423,0.1958,149540.6496,14712.7012,0.6544
22,0,0,0,1,0,1,1,0,0.9102,0.6185,0.3626,0.7299,0.6852,0.1923,145706.9596,14748.7637,0.7523
23,0,0,0,1,0,1,1,1,0.9173,0.6569,0.3684,0.7304,0.7051,0.2008,135987.0005,14697.5898,0.7549
24,0,0,0,1,1,0,0,0,0.8598,0.6125,0.3475,0.6934,0.6064,0.2201,136069.1035,14628.459,0.6156
25,0,0,0,1,1,0,0,1,0.8702,0.5752,0.357,0.6997,0.6347,0.1899,150559.7083,14611.3438,0.6391
26,0,0,0,1,1,0,1,0,0.9152,0.6083,0.3636,0.7416,0.6965,0.1899,147996.0739,14630.2881,0.7726
27,0,0,0,1,1,0,1,1,0.9248,0.6742,0.3714,0.7457,0.7217,0.2156,132777.148,14527.6113,0.7746
28,0,0,0,1,1,1,0,0,0.8619,0.6076,0.3467,0.6917,0.6132,0.2191,137733.5216,14768.2676,0.6279
29,0,0,0,1,1,1,0,1,0.8706,0.5833,0.3541,0.6958,0.6373,0.198,147693.3022,14751.3203,0.6526
30,0,0,0,1,1,1,1,0,0.9196,0.6115,0.3677,0.7479,0.7105,0.1916,147132.0261,14768.9053,0.7828
31,0,0,0,1,1,1,1,1,0.9264,0.6742,0.3728,0.7488,0.7278,0.2156,132763.9168,14700.4785,0.7808
32,0,0,1,0,0,0,0,0,0.8569,0.6048,0.3515,0.6927,0.6054,0.218,138784.6596,14625.25,0.6008
33,0,0,1,0,0,0,0,1,0.8666,0.5667,0.3603,0.6989,0.6327,0.1884,153035.5752,14608.1348,0.6274
