element,action,new_diameter_m,d_cost,so,1,2,3,4,5,6,7,8,9,leak_pipe_diameter_mm,d_benefit,mb
L1377,pipe,0.125,3802.105,8.900795676,0.902518492,0.523423741,0.367638976,0.710833704,0.716282142,0.153575203,176346.1533,15325.8252,0.731343517,,0.099204324,2.61E-05
Leak_511,leak,,2552.568326,8.949551985,0.897696204,0.536104262,0.36400012,0.706580729,0.711785987,0.159915463,173345.9595,15423.04297,0.721736135,110,0.050448015,1.98E-05
Leak_473,leak,,2533.679643,8.952626529,0.898677435,0.532581895,0.365110962,0.706601195,0.713309568,0.156745333,173943.9702,15446.57031,0.722479648,110,0.047373471,1.87E-05
Leak_455,leak,,2226.925362,8.959942725,0.899105151,0.525537161,0.364908796,0.709670843,0.714094395,0.153927439,175853.4547,15431.5625,0.728247822,110,0.040057275,1.80E-05
Leak_2408,leak,,1148.565058,8.979974115,0.838046596,0.496653751,0.498670163,0.599711481,0.589906531,0.147234942,180557.3235,14647.07422,0.622876331,32,0.020025885,1.74E-05
L1776,pipe,0.075,2292.69725,8.960180726,0.840447257,0.496653751,0.501905535,0.605445433,0.585833113,0.147234942,180655.5957,14647.01367,0.636858051,,0.039819274,1.74E-05
Leak_1996,leak,,2447.974467,8.957497677,0.840679985,0.497005988,0.500970574,0.605580138,0.586573701,0.147234942,180602.764,14678.69922,0.63696224,75,0.042502323,1.74E-05
Leak_602,leak,,2477.499724,8.957003226,0.841103507,0.494892568,0.502232731,0.606282462,0.586591366,0.147234942,180868.7413,14647.00586,0.636539879,63,0.042996774,1.74E-05
L186,pipe,0.125,454.9225,8.992203554,0.836908117,0.496301515,0.498648444,0.600677736,0.584288933,0.147234942,180619.4055,14647.21484,0.629141735,,0.007796446,1.71E-05
Leak_3306,leak,,2352.244465,8.959882987,0.840491286,0.487495597,0.502023854,0.606624789,0.588093299,0.146530468,181960.4071,14677.31836,0.636343504,63,0.040117013,1.71E-05
L2843,pipe,0.075,1034.64075,8.982453683,0.838878965,0.497710461,0.499270155,0.60353132,0.58474207,0.147234942,180534.2936,14678.89453,0.634262744,,0.017546317,1.70E-05
Leak_1127,leak,,2510.172877,8.957581712,0.840726111,0.496301515,0.502127371,0.606138307,0.587167472,0.147234942,180611.7012,14647,0.63551667,110,0.042418288,1.69E-05
Leak_2089,leak,,2040.140127,8.9658258,0.840430484,0.497358225,0.501572801,0.604492598,0.586344014,0.147234942,180527.1383,14646.95898,0.634468147,90,0.0341742,1.68E-05
Leak_1055,leak,,2101.208265,8.964701911,0.840514349,0.496301515,0.501948853,0.604562551,0.586820791,0.147234942,180644.279,14646.99219,0.635212945,63,0.035298089,1.68E-05
Leak_785,leak,,2491.515502,8.958196991,0.840241785,0.496653751,0.501679054,0.606100618,0.586664276,0.147234942,180599.7337,14677.15625,0.637355997,110,0.041803009,1.68E-05
L2533,pipe,0.2,180.049,8.996968415,0.879407152,0.539274392,0.412689386,0.66573521,0.674356958,0.156040859,170571.9575,14901.86816,0.682267412,,0.003031585,1.68E-05
L2042,pipe,0.05,669.5565,8.988848047,0.838442862,0.496301515,0.499929209,0.603667982,0.586215594,0.147234942,180640.2415,14647.25,0.631340445,,0.011151953,1.67E-05
Leak_228,leak,,513.9541202,8.991401585,0.835478203,0.479394153,0.495636,0.598841069,0.585817284,0.143008101,186684.4236,14711.57227,0.631287704,100,0.008598415,1.67E-05
Leak_3538,leak,,1188.974538,8.980345761,0.837493081,0.497710461,0.499481082,0.598584072,0.589107814,0.147234942,180445.3114,14647.07617,0.621622816,63,0.019654239,1.65E-05
