,"('V_TR', 'day')","('V_TR', 'night')","('CV8', 'day')","('CV8', 'night')","('CV3', 'day')","('CV3', 'night')","('CV12', 'day')","('CV12', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0.94,0.7358,0.2623,0.8495,0.8189,0.4967,68530.0506,14911.625,0.8076
1,0,0,0,0,0,0,0,1,0.9493,0.6964,0.2618,0.8569,0.8212,0.4829,74192.6226,14868.2432,0.8227
2,0,0,0,0,0,0,1,0,0.9622,0.8087,0.2532,0.8621,0.8089,0.4871,60566.4202,14857.3848,0.8601
3,0,0,0,0,0,0,1,1,0.9692,0.8623,0.2573,0.8619,0.8279,0.5069,48444.3798,14721.335,0.8606
4,0,0,0,0,0,1,0,0,0.9446,0.6766,0.2543,0.848,0.8106,0.3191,106813.1344,15083.5459,0.8343
5,0,0,0,0,0,1,0,1,0.9483,0.6798,0.2463,0.8501,0.8161,0.3255,105323.6948,15383.7402,0.8441
6,0,0,0,0,0,1,1,0,0.9649,0.7411,0.2493,0.8618,0.8246,0.3371,97832.6444,15148.0928,0.881
7,0,0,0,0,0,1,1,1,0.9673,0.7703,0.2428,0.8565,0.8317,0.3315,92735.5998,15401.623,0.8795
8,0,0,0,0,1,0,0,0,0.9699,0.7129,0.2503,0.8598,0.8756,0.3057,102228.2433,16658.7266,0.8961
9,0,0,0,0,1,0,0,1,0.9702,0.7098,0.25,0.8604,0.8764,0.3026,102515.6626,16805.3965,0.897
10,0,0,0,0,1,0,1,0,0.9701,0.7598,0.2445,0.8587,0.8737,0.3283,92167.0577,16700.2402,0.8896
11,0,0,0,0,1,0,1,1,0.9712,0.8757,0.245,0.8602,0.8766,0.6414,58207.7011,16855.1738,0.8898
12,0,0,0,0,1,1,0,0,0.9686,0.739,0.2502,0.857,0.8754,0.3149,96639.1834,16649.6152,0.8873
13,0,0,0,0,1,1,0,1,0.9654,0.7341,0.2379,0.8484,0.8658,0.3082,98405.3354,17071.4004,0.8755
14,0,0,0,0,1,1,1,0,0.9663,0.8263,0.2442,0.8505,0.8693,0.4037,76154.7773,16779.5547,0.877
15,0,0,0,0,1,1,1,1,0.9631,0.8757,0.2329,0.842,0.8606,0.6404,58698.5922,17188.3496,0.8653
16,0,0,0,1,0,0,0,0,0.9468,0.7774,0.2607,0.8544,0.8155,0.5012,59757.1032,14843.0352,0.8166
17,0,0,0,1,0,0,0,1,0.9455,0.7703,0.2601,0.8511,0.8128,0.5005,61106.4873,14902.5459,0.8084
18,0,0,0,1,0,0,1,0,0.9626,0.8084,0.2532,0.8623,0.8093,0.4875,60645.6208,14823.0752,0.8604
19,0,0,0,1,0,0,1,1,0.9692,0.8623,0.2572,0.8619,0.8278,0.5069,48444.3896,14721.333,0.8606
20,0,0,0,1,0,1,0,0,0.9464,0.6763,0.2555,0.8502,0.8159,0.3188,107101.3923,15100.8174,0.8401
21,0,0,0,1,0,1,0,1,0.9492,0.6823,0.2469,0.8509,0.8182,0.3258,104873.4428,15383.7227,0.8465
22,0,0,0,1,0,1,1,0,0.965,0.7439,0.2493,0.8617,0.8246,0.3385,97133.8153,15148.1963,0.8808
23,0,0,0,1,0,1,1,1,0.9673,0.7703,0.2428,0.8565,0.8316,0.3315,92733.744,15401.6172,0.8794
24,0,0,0,1,1,0,0,0,0.9696,0.6967,0.2501,0.8596,0.8752,0.3054,105567.7472,16658.7305,0.8962
25,0,0,0,1,1,0,0,1,0.9702,0.721,0.2497,0.8604,0.8762,0.3029,100929.3579,16816.5312,0.8969
26,0,0,0,1,1,0,1,0,0.9699,0.7559,0.2444,0.8585,0.8733,0.3248,93212.6362,16700.25,0.8896
27,0,0,0,1,1,0,1,1,0.9712,0.8757,0.245,0.8602,0.8766,0.6414,58206.7624,16855.1699,0.8898
28,0,0,0,1,1,1,0,0,0.9686,0.7386,0.2502,0.857,0.8753,0.3149,96784.769,16649.7383,0.8873
29,0,0,0,1,1,1,0,1,0.9654,0.7312,0.2379,0.8485,0.8658,0.3079,99483.9611,17071.4102,0.8756
30,0,0,0,1,1,1,1,0,0.9663,0.8263,0.2442,0.8505,0.8693,0.404,76132.1393,16779.7031,0.877
31,0,0,0,1,1,1,1,1,0.9637,0.8757,0.2334,0.8438,0.8616,0.6404,58698.4008,17187.9727,0.8675
32,0,0,1,0,0,0,0,0,0.9462,0.7246,0.2609,0.854,0.8158,0.5005,71372.2439,14877.3408,0.8161
33,0,0,1,0,0,0,0,1,0.9428,0.7732,0.2587,0.8481,0.8065,0.5009,60593.5344,14868.248,0.8003
34,0,0,1,0,0,0,1,0,0.9617,0.8098,0.2531,0.8619,0.8084,0.4871,60510.7249,14823.0762,0.86
35,0,0,1,0,0,0,1,1,0.9692,0.8623,0.2573,0.8619,0.828,0.5072,48462.7516,14721.335,0.8607
36,0,0,1,0,0,1,0,0,0.948,0.6812,0.2557,0.8527,0.8176,0.3195,105756.7456,15083.5586,0.8458
37,0,0,1,0,0,1,0,1,0.9481,0.6819,0.2462,0.8499,0.8157,0.3258,104900.499,15400.9199,0.844
38,0,0,1,0,0,1,1,0,0.965,0.7408,0.2493,0.8618,0.8247,0.3346,98006.8366,15148.0674,0.8812
39,0,0,1,0,0,1,1,1,0.9673,0.7703,0.2428,0.8565,0.8317,0.3318,92752.328,15401.6191,0.8795
40,0,0,1,0,1,0,0,0,0.9699,0.7126,0.2499,0.8598,0.8756,0.3068,102314.8908,16677.9844,0.8961
41,0,0,1,0,1,0,0,1,0.9701,0.6995,0.25,0.8602,0.8764,0.2983,105917.8557,16805.3926,0.897
42,0,0,1,0,1,0,1,0,0.9705,0.7605,0.2451,0.8594,0.8745,0.3304,91764.5354,16734.0098,0.8906
43,0,0,1,0,1,0,1,1,0.9712,0.8757,0.2451,0.8602,0.8767,0.6418,58211.5033,16855.1777,0.8898
44,0,0,1,0,1,1,0,0,0.9681,0.7397,0.2497,0.8557,0.8745,0.3156,96509.785,16650.0137,0.8856
45,0,0,1,0,1,1,0,1,0.9653,0.7281,0.2379,0.8484,0.8658,0.3064,100226.6875,17071.3965,0.8755
46,0,0,1,0,1,1,1,0,0.9663,0.8263,0.2442,0.8506,0.8694,0.4047,76156.1704,16779.5664,0.877
47,0,0,1,0,1,1,1,1,0.9631,0.8757,0.2329,0.842,0.8607,0.6418,58705.0197,17188.3535,0.8653
48,0,0,1,1,0,0,0,0,0.9492,0.7732,0.2616,0.8581,0.8205,0.5016,60754.3263,14877.3428,0.8259
49,0,0,1,1,0,0,0,1,0.9437,0.7718,0.2592,0.8492,0.8087,0.5009,60840.583,14868.2471,0.8033
50,0,0,1,1,0,0,1,0,0.9618,0.8101,0.2531,0.8619,0.8085,0.4875,60249.8397,14857.3789,0.8601
