,"('V_TR', 'day')","('V_TR', 'night')","('CV8', 'day')","('CV8', 'night')","('CV3', 'day')","('CV3', 'night')","('CV12', 'day')","('CV12', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0.9304,0.6552,0.2949,0.8204,0.7741,0.2621,120451.1242,14997.9248,0.7944
1,0,0,0,0,0,0,0,1,0.9333,0.6245,0.2967,0.8203,0.7822,0.2473,126500.1867,14946.4922,0.7951
2,0,0,0,0,0,0,1,0,0.9494,0.69,0.2866,0.8312,0.7731,0.2501,120606.9454,14907.7842,0.8429
3,0,0,0,0,0,0,1,1,0.9576,0.7154,0.292,0.8324,0.7959,0.2529,114082.6454,14736.3018,0.8458
4,0,0,0,0,0,1,0,0,0.9286,0.6361,0.2916,0.8071,0.7753,0.2466,128529.1452,15148.1006,0.8088
5,0,0,0,0,0,1,0,1,0.9233,0.6442,0.2795,0.7984,0.7611,0.2483,126206.2738,15394.4707,0.7899
6,0,0,0,0,0,1,1,0,0.9524,0.6858,0.2852,0.8279,0.7921,0.2413,124953.2551,15174.9844,0.8589
7,0,0,0,0,0,1,1,1,0.953,0.7193,0.2799,0.8171,0.7957,0.2497,116893.5843,15374.4023,0.8496
8,0,0,0,0,1,0,0,0,0.9553,0.69,0.2825,0.8277,0.8374,0.2635,112824.2098,16621.252,0.872
9,0,0,0,0,1,0,0,1,0.9561,0.6855,0.283,0.8289,0.8399,0.2628,113759.1016,16676.9922,0.8737
10,0,0,0,0,1,0,1,0,0.9582,0.72,0.2814,0.8317,0.8401,0.279,105895.4948,16642.2969,0.8671
11,0,0,0,0,1,0,1,1,0.9624,0.8302,0.2841,0.8359,0.8506,0.5414,80497.0669,16590.6758,0.8672
12,0,0,0,0,1,1,0,0,0.9572,0.6928,0.2893,0.8258,0.8444,0.2631,112457.4519,16651.3828,0.8666
13,0,0,0,0,1,1,0,1,0.9505,0.6988,0.275,0.8095,0.8282,0.2673,110136.2708,16858.7012,0.8515
14,0,0,0,0,1,1,1,0,0.9538,0.7425,0.2799,0.8169,0.8344,0.299,100954.0913,16593.9316,0.8465
15,0,0,0,0,1,1,1,1,0.9578,0.8309,0.2782,0.8187,0.8425,0.5798,77486.9332,16700.5742,0.8464
16,0,0,0,1,0,0,0,0,0.9366,0.6541,0.2981,0.8267,0.7884,0.2614,120835.7141,14963.6104,0.8112
17,0,0,0,1,0,0,0,1,0.9346,0.6421,0.2977,0.8228,0.7861,0.2578,123459.0127,14963.6416,0.8016
18,0,0,0,1,0,0,1,0,0.9494,0.6883,0.2865,0.8312,0.7731,0.248,121025.2774,14907.7783,0.8429
19,0,0,0,1,0,0,1,1,0.9576,0.7154,0.292,0.8324,0.7958,0.2529,114083.7228,14736.3018,0.8458
20,0,0,0,1,0,1,0,0,0.9309,0.6471,0.2929,0.8104,0.78,0.2483,125722.3981,15160.2393,0.8159
21,0,0,0,1,0,1,0,1,0.9239,0.6555,0.2796,0.7992,0.7616,0.2483,123753.5215,15411.6016,0.7914
