,"('V_CO', 'day')","('V_CO', 'night')","('V_MO1', 'day')","('V_MO1', 'night')","('V_MO2', 'day')","('V_MO2', 'night')","('V_MO3', 'day')","('V_MO3', 'night')","('V_MO4', 'day')","('V_MO4', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0,0.7804,0.5981,0.2955,0.5165,0.5929,0.2328,166143.5653,14934.1289,0.4517
1,0,0,0,0,0,0,0,0,0,1,0.7773,0.5985,0.2922,0.516,0.5872,0.2332,166145.8241,14966.9766,0.4504
2,0,0,0,0,0,0,0,0,1,0,0.7814,0.584,0.2966,0.5162,0.598,0.2406,170789.1536,14934.1289,0.4516
3,0,0,0,0,0,0,0,0,1,1,0.7792,0.5932,0.2938,0.5185,0.5938,0.2585,168521.6281,14966.9785,0.453
4,0,0,0,0,0,0,0,1,0,0,0.7764,0.5981,0.2914,0.516,0.5852,0.2328,166141.1746,15001.6055,0.4501
5,0,0,0,0,0,0,0,1,0,1,0.7764,0.5981,0.2913,0.5159,0.5851,0.2328,166144.1951,15000.9541,0.45
6,0,0,0,0,0,0,0,1,1,0,0.7782,0.5942,0.293,0.5182,0.5917,0.2585,168286.9758,15001.6074,0.4528
7,0,0,0,0,0,0,0,1,1,1,0.7786,0.5932,0.2933,0.5193,0.5925,0.2585,168641.5764,15000.9492,0.4541
8,0,0,0,0,0,0,1,0,0,0,0.782,0.5815,0.2972,0.5171,0.5998,0.2494,171211.6989,14934.1318,0.4533
9,0,0,0,0,0,0,1,0,0,1,0.7776,0.5911,0.2929,0.5143,0.592,0.2691,168488.4874,14966.9785,0.4495
10,0,0,0,0,0,0,1,0,1,0,0.7834,0.5798,0.2976,0.5191,0.6018,0.2511,171744.2991,14931.7656,0.4579
11,0,0,0,0,0,0,1,0,1,1,0.7812,0.5851,0.2945,0.5207,0.5965,0.2698,170336.0148,14973.4893,0.4601
12,0,0,0,0,0,0,1,1,0,0,0.7802,0.5939,0.294,0.5222,0.5952,0.2747,168051.4159,14967.8174,0.458
13,0,0,0,0,0,0,1,1,0,1,0.7787,0.5914,0.2932,0.5194,0.5929,0.2702,168189.0502,15000.9482,0.4548
14,0,0,0,0,0,0,1,1,1,0,0.7799,0.59,0.2937,0.5209,0.5947,0.2698,169055.3126,15001.6094,0.4569
15,0,0,0,0,0,0,1,1,1,1,0.7795,0.5896,0.2935,0.5206,0.5943,0.2698,169132.9921,15000.9531,0.4561
16,0,0,0,0,0,1,0,0,0,0,0.7921,0.5981,0.3145,0.5235,0.6206,0.2328,166144.7535,14778.335,0.4687
17,0,0,0,0,0,1,0,0,0,1,0.7968,0.5985,0.2928,0.5343,0.6262,0.2332,166126.4156,15120.2432,0.4817
18,0,0,0,0,0,1,0,0,1,0,0.7925,0.5544,0.315,0.5224,0.6245,0.2237,186087.7158,14755.0371,0.4683
19,0,0,0,0,0,1,0,0,1,1,0.7996,0.5865,0.2936,0.5371,0.6315,0.248,171629.0545,15127.5156,0.4873
20,0,0,0,0,0,1,0,1,0,0,0.7997,0.5985,0.2842,0.5387,0.6274,0.2332,166136.2297,15237.0859,0.487
21,0,0,0,0,0,1,0,1,0,1,0.7985,0.5981,0.278,0.5381,0.623,0.2332,166136.3272,15250.1436,0.4851
22,0,0,0,0,0,1,0,1,1,0,0.8023,0.5942,0.2848,0.5405,0.632,0.2585,168288.8141,15240.3613,0.4919
23,0,0,0,0,0,1,0,1,1,1,0.8023,0.5942,0.2795,0.5426,0.6299,0.2585,168299.051,15249.0742,0.4936
24,0,0,0,0,0,1,1,0,0,0,0.7929,0.5738,0.3155,0.5234,0.6263,0.2494,173636.7069,14755.04,0.4705
25,0,0,0,0,0,1,1,0,0,1,0.7995,0.5911,0.2939,0.5365,0.6323,0.2691,168505.1543,15120.2549,0.4869
26,0,0,0,0,0,1,1,0,1,0,0.7954,0.5787,0.3166,0.5276,0.6293,0.2511,171623.9822,14763.1924,0.4783
27,0,0,0,0,0,1,1,0,1,1,0.7979,0.59,0.2928,0.5321,0.6297,0.2698,169195.1527,15120.2246,0.4831
28,0,0,0,0,0,1,1,1,0,0,0.8036,0.5773,0.2857,0.5429,0.6353,0.2681,172025.0816,15237.1035,0.4959
29,0,0,0,0,0,1,1,1,0,1,0.802,0.5911,0.28,0.5413,0.6299,0.2691,168481.1546,15237.9238,0.4941
30,0,0,0,0,0,1,1,1,1,0,0.8002,0.5907,0.2835,0.5356,0.6297,0.2698,168885.0301,15237.0645,0.4887
31,0,0,0,0,0,1,1,1,1,1,0.8011,0.59,0.2795,0.5399,0.6289,0.2698,168848.3906,15237.8906,0.4931
32,0,0,0,0,1,0,0,0,0,0,0.8615,0.6358,0.2809,0.6504,0.7014,0.2511,153237.5521,14910.084,0.6657
33,0,0,0,0,1,0,0,0,0,1,0.8579,0.6559,0.2777,0.6491,0.6943,0.2596,147881.8883,14925.793,0.6635
34,0,0,0,0,1,0,0,0,1,0,0.8765,0.6692,0.2696,0.6837,0.7198,0.3646,142138.8217,15018.0293,0.6882
35,0,0,0,0,1,0,0,0,1,1,0.8739,0.6872,0.2667,0.6847,0.7149,0.3727,137448.9559,15051.1279,0.6885
36,0,0,0,0,1,0,0,1,0,0,0.8576,0.6559,0.2772,0.6504,0.6937,0.2592,147907.3221,14977.5723,0.6655
37,0,0,0,0,1,0,0,1,0,1,0.8576,0.6562,0.2774,0.6503,0.6936,0.2592,147931.0816,14976.917,0.6655
38,0,0,0,0,1,0,0,1,1,0,0.8737,0.6872,0.2664,0.6864,0.7141,0.3727,137409.6403,15085.752,0.6902
39,0,0,0,0,1,0,0,1,1,1,0.8738,0.6872,0.2664,0.6864,0.7141,0.3723,137420.9549,15085.0928,0.6902
40,0,0,0,0,1,0,1,0,0,0,0.8796,0.6826,0.2673,0.688,0.7166,0.4195,135181.9259,15191.0645,0.6905
41,0,0,0,0,1,0,1,0,0,1,0.8772,0.6957,0.2646,0.6893,0.7117,0.4202,131642.9122,15224.2197,0.6911
42,0,0,0,0,1,0,1,0,1,0,0.8811,0.7172,0.265,0.6923,0.7158,0.4787,121990.557,15225.3359,0.6868
