,"('V_LL_1', 'day')","('V_LL_1', 'night')","('CV4', 'day')","('CV4', 'night')","('CV5', 'day')","('CV5', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0.9182,0.8271,0.2422,0.7749,0.7875,0.5805,77402.8971,17221.0273,0.7655
1,0,0,0,0,0,1,0.9182,0.8278,0.2422,0.7749,0.7875,0.5805,77265.0719,17221.0254,0.7655
2,0,0,0,0,1,0,0.9182,0.8278,0.2422,0.7748,0.7875,0.5805,77265.529,17221.0273,0.7655
3,0,0,0,0,1,1,0.9182,0.8278,0.2422,0.7749,0.7875,0.5805,77264.4595,17221.0254,0.7655
4,0,0,0,1,0,0,0.926,0.8278,0.2462,0.7756,0.7958,0.5805,77258.9863,17203.5742,0.7691
5,0,0,0,1,0,1,0.926,0.8278,0.2462,0.7756,0.7957,0.5805,77261.2893,17203.5762,0.7691
6,0,0,0,1,1,0,0.926,0.8278,0.2462,0.7756,0.7958,0.5805,77259.4493,17203.5723,0.7691
7,0,0,0,1,1,1,0.926,0.8278,0.2462,0.7756,0.7957,0.5805,77260.5856,17203.5781,0.7691
8,0,0,1,0,0,0,0.9353,0.8278,0.2483,0.7846,0.8038,0.5805,77334.1796,17221.4082,0.8075
9,0,0,1,0,0,1,0.9353,0.8278,0.2483,0.7846,0.8038,0.5805,77333.8246,17221.4023,0.8075
10,0,0,1,0,1,0,0.9353,0.8278,0.2484,0.7846,0.8038,0.5805,77334.6356,17221.4043,0.8075
11,0,0,1,0,1,1,0.9353,0.8278,0.2484,0.7846,0.8038,0.5805,77334.7921,17221.4043,0.8075
12,0,0,1,1,0,0,0.9431,0.8535,0.2532,0.7861,0.8121,0.6058,66745.5798,17203.8887,0.8066
13,0,0,1,1,0,1,0.9431,0.8535,0.2533,0.7861,0.8121,0.6058,66756.2571,17203.8906,0.8066
14,0,0,1,1,1,0,0.9431,0.8535,0.2535,0.7861,0.8122,0.6058,66757.6173,17203.8887,0.8067
15,0,0,1,1,1,1,0.9431,0.8535,0.2535,0.7861,0.8121,0.6058,66757.635,17203.8867,0.8066
16,0,1,0,0,0,0,0.926,0.8281,0.2461,0.7756,0.7958,0.5801,77254.8586,17203.5547,0.7691
17,0,1,0,0,0,1,0.926,0.8281,0.2462,0.7756,0.7958,0.5801,77255.5538,17203.5645,0.7691
18,0,1,0,0,1,0,0.9261,0.8281,0.2461,0.7756,0.7958,0.5801,77251.9488,17203.5625,0.7691
19,0,1,0,0,1,1,0.926,0.8278,0.2462,0.7756,0.7958,0.5801,77253.0399,17203.5664,0.7691
20,0,1,0,1,0,0,0.926,0.8278,0.2462,0.7756,0.7958,0.5801,77254.8507,17203.5664,0.7691
21,0,1,0,1,0,1,0.926,0.8278,0.2462,0.7756,0.7958,0.5801,77253.003,17203.5605,0.7691
22,0,1,0,1,1,0,0.926,0.8278,0.2462,0.7756,0.7958,0.5801,77256.1536,17203.5605,0.7691
23,0,1,0,1,1,1,0.926,0.8281,0.2462,0.7756,0.7958,0.5801,77254.7338,17203.5664,0.7691
24,0,1,1,0,0,0,0.9431,0.8535,0.2533,0.7861,0.8121,0.6058,66747.0025,17203.8789,0.8066
25,0,1,1,0,0,1,0.9431,0.8535,0.2534,0.7861,0.8121,0.6058,66747.0131,17203.877,0.8066
26,0,1,1,0,1,0,0.943,0.8535,0.2534,0.7861,0.8121,0.6058,66746.6789,17203.875,0.8066
27,0,1,1,0,1,1,0.9431,0.8535,0.2535,0.7861,0.8121,0.6058,66747.9215,17203.873,0.8066
28,0,1,1,1,0,0,0.943,0.8531,0.2534,0.786,0.8121,0.6058,66937.6021,17203.8828,0.8066
29,0,1,1,1,0,1,0.9431,0.8535,0.2534,0.7861,0.8121,0.6058,66746.5686,17203.8789,0.8066
30,0,1,1,1,1,0,0.9431,0.8535,0.2535,0.7861,0.8121,0.6058,66749.5548,17203.8809,0.8066
