,"('V_CO', 'day')","('V_CO', 'night')","('V_G1', 'day')","('V_G1', 'night')","('V_G2', 'day')","('V_G2', 'night')","('V_G3', 'day')","('V_G3', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0.8291,0.6819,0.3734,0.6077,0.6773,0.3734,136767.3858,15219.2568,0.5995
1,0,0,0,0,0,0,0,1,0.8432,0.6819,0.3739,0.6111,0.6786,0.3734,136769.855,15168.7207,0.602
2,0,0,0,0,0,0,1,0,0.8398,0.6182,0.3645,0.6217,0.6633,0.2135,155591.8117,15180.2744,0.612
3,0,0,0,0,0,0,1,1,0.8574,0.6199,0.3664,0.6302,0.6674,0.2279,155389.4497,15128.2852,0.6169
4,0,0,0,0,0,1,0,0,0.8438,0.6819,0.3734,0.6106,0.6786,0.3734,136771.262,15169.5469,0.6013
5,0,0,0,0,0,1,0,1,0.8449,0.6819,0.3733,0.6116,0.6793,0.3734,136771.4315,15169.543,0.6021
6,0,0,0,0,0,1,1,0,0.8556,0.6316,0.3646,0.6282,0.6641,0.243,150794.5109,15118.2051,0.6128
7,0,0,0,0,0,1,1,1,0.8553,0.6143,0.3637,0.6283,0.6624,0.2335,159676.7186,15118.2031,0.6166
8,0,0,0,0,1,0,0,0,0.8416,0.6323,0.3652,0.6266,0.6656,0.2709,151503.5333,15175.4902,0.6116
9,0,0,0,0,1,0,0,1,0.8553,0.5403,0.3645,0.6269,0.6639,0.1934,179056.9554,15124.5938,0.6169
10,0,0,0,0,1,0,1,0,0.8387,0.5664,0.3617,0.6199,0.6602,0.2332,171804.4701,15180.8291,0.6072
11,0,0,0,0,1,0,1,1,0.855,0.5844,0.364,0.6282,0.662,0.2156,162752.0481,15127.2979,0.6164
12,0,0,0,0,1,1,0,0,0.8554,0.6344,0.3651,0.6277,0.6644,0.2617,152066.4107,15119.6172,0.612
13,0,0,0,0,1,1,0,1,0.8569,0.5815,0.3647,0.6335,0.6648,0.2265,169934.4599,15139.2051,0.6175
14,0,0,0,0,1,1,1,0,0.8561,0.6182,0.3628,0.6296,0.6628,0.2279,155323.5386,15124.9238,0.6162
15,0,0,0,0,1,1,1,1,0.8555,0.6372,0.3634,0.6295,0.6626,0.2585,148451.3709,15123.2676,0.6128
16,0,0,0,1,0,0,0,0,0.8425,0.6819,0.3732,0.6094,0.6785,0.3734,136769.4805,15186.5879,0.6001
17,0,0,0,1,0,0,0,1,0.8437,0.6819,0.373,0.6108,0.6779,0.3734,136770.5113,15152.3408,0.6013
18,0,0,0,1,0,0,1,0,0.8551,0.6069,0.3637,0.6284,0.6651,0.2437,161920.432,15153.5664,0.6133
19,0,0,0,1,0,0,1,1,0.8532,0.6428,0.363,0.6237,0.6604,0.2631,147996.7286,15118.1074,0.6083
20,0,0,0,1,0,1,0,0,0.8445,0.6819,0.3734,0.6122,0.6786,0.3734,136766.7923,15169.5547,0.6029
21,0,0,0,1,0,1,0,1,0.8434,0.6819,0.3729,0.6106,0.6777,0.3734,136769.4509,15169.5361,0.601
22,0,0,0,1,0,1,1,0,0.8538,0.5865,0.3618,0.6238,0.6624,0.2128,164639.721,15123.9043,0.6084
23,0,0,0,1,0,1,1,1,0.8574,0.6249,0.3651,0.6324,0.6669,0.2589,156125.8076,15127.1982,0.6183
24,0,0,0,1,1,0,0,0,0.853,0.6164,0.3629,0.6238,0.6613,0.2656,158473.962,15142.6846,0.607
25,0,0,0,1,1,0,0,1,0.8545,0.5759,0.363,0.6266,0.6618,0.2335,171183.9905,15131.2275,0.6132
26,0,0,0,1,1,0,1,0,0.8518,0.1729,0.3624,0.6257,0.6613,0.1328,269039.9726,15123.9941,0.6171
27,0,0,0,1,1,0,1,1,0.8559,0.5171,0.363,0.629,0.6626,0.2022,190603.2264,15126.0205,0.6181
28,0,0,0,1,1,1,0,0,0.8581,0.6495,0.3648,0.6324,0.668,0.2751,145978.948,15130.6289,0.6153
29,0,0,0,1,1,1,0,1,0.8575,0.6439,0.3651,0.6325,0.6655,0.2423,147401.599,15128.584,0.6184
30,0,0,0,1,1,1,1,0,0.8543,0.5615,0.3632,0.6254,0.6606,0.2064,173195.285,15119.1973,0.6121
31,0,0,0,1,1,1,1,1,0.8554,0.5238,0.3623,0.6251,0.6635,0.1906,190329.8693,15139.9893,0.6145
32,0,0,1,0,0,0,0,0,0.8367,0.5062,0.3647,0.6173,0.6632,0.1828,191020.7183,15174.251,0.6081
33,0,0,1,0,0,0,0,1,0.8554,0.6298,0.3687,0.6273,0.6711,0.3269,156717.7929,15140.292,0.6097
34,0,0,1,0,0,0,1,0,0.8385,0.6196,0.3628,0.6201,0.662,0.2335,155491.1877,15179.6943,0.6041
35,0,0,1,0,0,0,1,1,0.8557,0.6168,0.3641,0.6282,0.6651,0.2346,156127.6351,15134.8564,0.6125
36,0,0,1,0,0,1,0,0,0.8537,0.6449,0.3661,0.6246,0.6664,0.2568,147065.709,15141.1133,0.6077
37,0,0,1,0,0,1,0,1,0.8539,0.5819,0.3667,0.6277,0.6656,0.2184,166720.6291,15136.3164,0.6173
