,time,evaluations,actions,cost,used budget,1,2,3,4,5,6,7,8,9
0,74477.15936994553,1581,49,15901.702986347833,15901.702986347833,0.8683,0.5798,0.4451,0.6454,0.6254,0.1747,161630.2276,16688.5859,0.6505
0,2657.666738986969,60,24,14059.290347048782,29960.993333396615,0.8754,0.5872,0.4364,0.6526,0.6481,0.1786,159518.7044,16656.9727,0.66
0,2263.0495352745056,52,28,16034.306445628014,45995.29977902463,0.885,0.6101,0.4309,0.6686,0.669,0.1842,151517.9266,16618.1387,0.6793
0,11334.601219177246,51,21,14922.302008030609,60917.60178705524,0.8842,0.6428,0.4153,0.6711,0.6716,0.2219,144464.5251,16768.0176,0.6745
0,2652.254644393921,55,23,15350.59322285575,76268.195009911,0.886,0.6375,0.4069,0.6803,0.6765,0.2445,148624.6602,16869.4004,0.6813
0,2825.1208102703094,55,21,16466.75723177567,92734.95224168667,0.89,0.6548,0.4067,0.6864,0.6843,0.2592,142320.2224,16897.3945,0.6879
0,2739.0127527713776,51,9,15502.170936117585,108237.12317780426,0.8937,0.6552,0.4102,0.6926,0.6893,0.2621,142139.5951,16895.7852,0.6965
0,2753.0516476631165,53,89,157535.37094693535,265772.4941247396,0.9008,0.6608,0.3858,0.7033,0.7126,0.2684,139106.6399,16830.2344,0.7108
0,3054.6787745952606,58,13,14988.639539794141,280761.1336645337,0.9035,0.6721,0.3862,0.7118,0.7186,0.3427,136471.1816,16827.5801,0.722
0,2758.4975724220276,50,9,15971.345473234313,296732.47913776804,0.8964,0.664,0.3756,0.7039,0.7096,0.2705,138856.5003,16832.0996,0.7134
0,3877.1128392219543,49,13,16164.638740657112,312897.11787842517,0.9019,0.6661,0.38,0.7052,0.7229,0.2705,138174.4531,16829.916,0.7162
0,3539.104127883911,50,9,15072.735208183803,327969.853086609,0.9008,0.665,0.3759,0.7078,0.7195,0.2705,138235.1697,16832.1973,0.7204
0,3174.41991686821,50,13,16135.749226072798,344105.6023126818,0.9024,0.665,0.373,0.7083,0.726,0.2726,138420.7927,16831.8242,0.7227
0,2749.7016801834106,50,11,16065.958882040653,360171.5611947224,0.8993,0.6657,0.3653,0.7048,0.7202,0.2751,138209.3956,16832.8145,0.7173
0,10897.043321609497,49,7,15695.217231555565,375866.778426278,0.9017,0.6657,0.3676,0.7027,0.7253,0.2751,138125.5117,16830.1094,0.714
0,2132.1035459041595,48,10,16655.916385400415,392522.6948116784,0.9053,0.6499,0.3717,0.7063,0.733,0.2839,145617.8977,16831.9375,0.7203
0,2176.484726667404,49,8,16174.226916110409,408696.9217277888,0.9099,0.67,0.3695,0.7219,0.7391,0.2892,137803.4256,16831.5234,0.741
0,2103.2729275226593,48,11,15218.198344915996,423915.1200727048,0.9082,0.6696,0.3641,0.7207,0.7377,0.2888,137774.1388,16843.3457,0.7391
0,2313.502069711685,53,9,16608.91184798001,440524.0319206848,0.9065,0.6749,0.3606,0.7133,0.7353,0.373,135141.4495,16829.6328,0.7276
0,2103.857152223587,48,8,14593.167552560437,455117.19947324524,0.9114,0.6506,0.3615,0.721,0.7407,0.285,145338.6966,16829.627,0.7382
0,2274.4325330257416,52,7,15099.616988894744,470216.81646214,0.9113,0.6506,0.3597,0.7218,0.741,0.285,145358.0255,16818.7578,0.7394
0,2455.776703596115,57,9,14886.30352334253,485103.11998548254,0.9148,0.6573,0.3624,0.7232,0.7492,0.3702,142631.9178,16793.8301,0.7403
0,2077.205792427063,48,10,14527.12809010857,499630.2480755911,0.9089,0.6597,0.3517,0.7172,0.7428,0.4019,141041.1717,16790.1035,0.7314
