element,action,new_diameter_m,d_cost,so,1,2,3,4,5,6,7,8,9,leak_pipe_diameter_mm,d_benefit,mb,iter
L300,pipe,0.05,58.632,8.892805874,0.849720727,0.589644241,0.492397881,0.607863978,0.577351599,0.173300458,158041.4363,16772.55469,0.601385751,,0.107194126,0.001828253,1
L788,pipe,0.063,76.008424,8.874463236,0.85041891,0.589644241,0.493734841,0.609667486,0.579577085,0.173300458,158035.1717,16770.31445,0.604299318,,0.125536764,0.001651616,1
L302,pipe,0.075,93.61975,8.851140984,0.851999782,0.589644241,0.496597876,0.610453071,0.582689139,0.173300458,157992.1054,16769.23633,0.605560767,,0.148859016,0.001590039,1
L713,pipe,0.063,45.252438,8.934355337,0.853471628,0.571327932,0.495751183,0.610647552,0.579722068,0.168369144,164220.1091,16764.34375,0.605009122,,0.065644663,0.001450633,1
L1258,pipe,0.075,98.44325,8.857869058,0.843235797,0.589292004,0.480067266,0.609684932,0.569902055,0.173652695,157974.5641,16762.05664,0.604076757,,0.142130942,0.001443786,1
L2198,pipe,0.063,114.208534,8.858648126,0.851081451,0.589644241,0.495286291,0.610632734,0.581405466,0.173300458,158047.8623,16769.34766,0.606176349,,0.141351874,0.001237665,1
L2437,pipe,0.075,97.12775,8.887977771,0.846946863,0.589644241,0.488704599,0.607653784,0.574797778,0.173300458,158014.9834,16771.85938,0.601236574,,0.112022229,0.001153349,1
L3119,pipe,0.05,38.5645,8.956354998,0.852012362,0.571680169,0.493641648,0.60931062,0.577733346,0.168369144,164220.7738,16764.49609,0.60281926,,0.043645002,0.00113174,1
L2848,pipe,0.125,128.765,8.860985426,0.852364599,0.589644241,0.496705132,0.609346855,0.581453375,0.173300458,158024.8734,16761.30078,0.602815077,,0.139014574,0.001079599,1
L1263,pipe,0.1,232.407,8.782090909,0.854997987,0.589644241,0.493980713,0.61906191,0.581361489,0.173652695,157985.4574,16774.31836,0.617720005,,0.217909091,0.000937618,1
L2434,pipe,0.075,98.88175,8.912536376,0.854847029,0.571680169,0.496934664,0.61218713,0.581070055,0.168369144,164253.1783,16763.39258,0.607285344,,0.087463624,0.000884527,1
L1151,pipe,0.075,53.27775,8.972784711,0.848672403,0.572032406,0.493968481,0.607641482,0.580271233,0.168721381,164200.4789,16768.5625,0.602598056,,0.027215289,0.000510819,1
L115,pipe,0.125,143.97625,8.927703772,0.853911924,0.571327932,0.496535097,0.611034222,0.580253726,0.168369144,164233.2621,16764.59766,0.605647401,,0.072296228,0.00050214,1
L3267,pipe,0.1,48.546,8.976446363,0.850186182,0.571680169,0.493984274,0.60693871,0.579911134,0.168369144,164283.321,16769.47266,0.600608948,,0.023553637,0.000485182,1
L317,pipe,0.2,170.34,8.923017691,0.853947567,0.571680169,0.495725169,0.611879024,0.579963864,0.168369144,164265.857,16763.54688,0.606843647,,0.076982309,0.000451933,1
L2366,pipe,0.075,205.6565,8.909772694,0.852628776,0.572032406,0.493060291,0.613842959,0.581393358,0.169073617,164074.5828,16762.38867,0.611411326,,0.090227306,0.000438728,1
Leak_839,leak,,383.879364,8.833998491,0.849865395,0.594223318,0.485191201,0.612377976,0.576817793,0.173652695,156993.6804,16773.75977,0.607155195,75,0.166001509,0.000432431,1
L2934,pipe,0.125,469.42625,8.805274387,0.855253778,0.589292004,0.497807896,0.614985131,0.582479788,0.173300458,157998.9251,16762.83398,0.611109304,,0.194725613,0.000414816,1
Leak_2746,leak,,513.4184385,8.801902325,0.853695969,0.589292004,0.493674508,0.617641549,0.580564187,0.173300458,158014.2211,16775.41406,0.616003639,75,0.198097675,0.000385841,1
L1975,pipe,0.05,73.8135,8.97200989,0.846057884,0.572384642,0.48081885,0.605340811,0.56691947,0.168721381,164192.2293,16811.36133,0.592884645,,0.02799011,0.0003792,1
L130,pipe,0.05,306.9455,8.883899931,0.854666717,0.572032406,0.496663211,0.615311522,0.583471764,0.169073617,164143.2427,16761.48242,0.613046814,,0.116100069,0.000378243,1
Leak_1919,leak,,503.2753248,8.811609574,0.857243496,0.571680169,0.49247756,0.620600928,0.591681238,0.169073617,164167.3361,16764.58203,0.622042652,160,0.188390426,0.000374329,1
Leak_3410,leak,,581.6096104,8.785467048,0.85503992,0.589292004,0.494233141,0.618512968,0.581565021,0.173300458,158016.4066,16776.14453,0.617190529,60,0.214532952,0.000368861,1
L776,pipe,0.05,113.425,8.958189785,0.851179993,0.571680169,0.494921954,0.608698435,0.58045406,0.168369144,164244.9889,16771.41211,0.60303986,,0.041810215,0.000368616,1
L1648,pipe,0.075,187.678,8.934422633,0.854006273,0.571680169,0.497233233,0.609443927,0.581636412,0.168369144,164249.1466,16762.18359,0.602941837,,0.065577367,0.000349414,1
L2501,pipe,0.1,67.797,8.976458396,0.850184086,0.571680169,0.492536224,0.607629012,0.577945737,0.168721381,164229.874,16771.40234,0.601093158,,0.023541604,0.000347237,1
L170,pipe,0.063,278.17516,8.911049136,0.852148644,0.572736879,0.492540009,0.613017393,0.583539067,0.169778091,163982.9029,16769.32422,0.60949293,,0.088950864,0.000319766,1
Leak_3584,leak,,638.9012759,8.801226928,0.854742196,0.589292004,0.492752133,0.616737586,0.580542906,0.173652695,157979.7042,16776.81641,0.613917671,80,0.198773072,0.000311117,1
L821,pipe,0.063,134.973722,8.958122747,0.851184186,0.571680169,0.494928417,0.60869877,0.580460612,0.168369144,164244.2339,16771.41406,0.603049052,,0.041877253,0.000310262,1
L89,pipe,0.063,308.735248,8.908228326,0.854937184,0.571680169,0.498588707,0.611847039,0.58335907,0.168016907,164228.4475,16761.21289,0.606862753,,0.091771674,0.00029725,1
L2822,pipe,0.125,110.72375,8.967449173,0.850710344,0.571680169,0.494037535,0.608097881,0.579621849,0.168369144,164239.966,16771.41797,0.601972787,,0.032550827,0.000293982,1
Leak_622,leak,,589.8690141,8.832696579,0.852410725,0.589644241,0.492355281,0.614699392,0.578084063,0.173300458,157976.5359,16775.15039,0.611247209,110,0.167303421,0.000283628,1
L1347,pipe,0.05,249.884,8.931536004,0.852664419,0.572032406,0.492584913,0.611543071,0.580309182,0.169073617,164121.1566,16772.98828,0.605875451,,0.068463996,0.000273983,1
Leak_1897,leak,,607.791049,8.837564715,0.848779332,0.589644241,0.484471618,0.613116032,0.579706868,0.173300458,158019.575,16757.55078,0.610815821,75,0.162435285,0.000267255,1
Leak_3283,leak,,887.5997284,8.763448769,0.856564183,0.589292004,0.495396283,0.619762725,0.583081316,0.174004931,157986.1391,16764.89258,0.618688907,60,0.236551231,0.000266507,1
Leak_864,leak,,699.5442378,8.814685344,0.853182291,0.590700951,0.493162135,0.61392404,0.583389419,0.174357168,157791.4227,16759.94336,0.610657348,60,0.185314656,0.000264908,1
Leak_797,leak,,870.6835567,8.771865184,0.854853319,0.589996478,0.492640652,0.620728532,0.581113508,0.173300458,157694.4927,16773.83203,0.619555982,110,0.228134816,0.000262018,1
Leak_2253,leak,,881.6927332,8.772193605,0.855406833,0.590700951,0.494944574,0.619094566,0.582207172,0.173300458,157670.7348,16776.125,0.618177316,110,0.227806395,0.000258374,1
Leak_1931,leak,,705.8899338,8.818657535,0.842671799,0.589644241,0.473849175,0.614256861,0.564366435,0.173652695,158037.3662,16767.22461,0.610082238,110,0.181342465,0.000256899,1
Leak_28,leak,,807.0392227,8.792713159,0.854287224,0.589292004,0.493282304,0.618298468,0.581047045,0.173652695,157970.7032,16775.22266,0.616715642,20,0.207286841,0.000256849,1
Leak_400,leak,,889.4389864,8.776440442,0.854949764,0.591757661,0.493187864,0.618478019,0.581526705,0.173300458,157396.3767,16774.67188,0.617300539,63,0.223559558,0.000251349,1
L2093,pipe,0.05,93.183,8.977109977,0.85040004,0.571680169,0.492737388,0.607521483,0.577708763,0.168369144,164253.0444,16773.3418,0.600547534,,0.022890023,0.000245646,1
L55,pipe,0.05,134.365,8.967500875,0.850697764,0.571680169,0.494028009,0.608088263,0.57961472,0.168369144,164222.6045,16771.41016,0.601963386,,0.032499125,0.000241872,1
L2042,pipe,0.05,669.5565,8.846871935,0.851521746,0.589996478,0.495989363,0.611628402,0.581935079,0.173652695,157932.9336,16770.60938,0.607468639,,0.153128065,0.000228701,1
L1231,pipe,0.1,246.078,8.944702331,0.850383267,0.571327932,0.489549717,0.611816508,0.576954914,0.169073617,164180.93,16773.33398,0.606356499,,0.055297669,0.000224716,1
L813,pipe,0.063,226.458088,8.949548434,0.852081551,0.571680169,0.494517137,0.60969975,0.579912444,0.168369144,164268.9442,16771.4375,0.603605774,,0.050451566,0.000222785,1
L326,pipe,0.2,202.404,8.955225064,0.85252604,0.571327932,0.495305047,0.608454523,0.579275692,0.168721381,164245.4275,16763.36328,0.60181324,,0.044774936,0.000221216,1
L2374,pipe,0.2,668.668,8.852894584,0.85113177,0.589644241,0.49751314,0.610234434,0.584505045,0.173300458,158016.5148,16766.35938,0.605655888,,0.147105416,0.000219998,1
Leak_2957,leak,,794.6181342,8.826465481,0.852612003,0.589292004,0.49231183,0.614913445,0.579918839,0.173300458,157993.9509,16773.54492,0.611750026,32,0.173534519,0.000218387,1
L1975,pipe,0.063,9.051354,8.818144553,0.87142312,0.601972526,0.449507214,0.651348748,0.631418518,0.178231772,154780.3028,16674.96484,0.659136227,,0.181855447,0.020091519,2
Leak_1809,leak,,869.0711646,8.812466641,0.853092135,0.589644241,0.4939727,0.616119306,0.580993842,0.173300458,157960.6021,16772.45117,0.614040833,75,0.187533359,0.000215786,2
L617,pipe,0.063,394.930368,8.918032566,0.85468978,0.571327932,0.498025611,0.610886432,0.582485397,0.168721381,164175.219,16762.18359,0.605280672,,0.081967434,0.000207549,2
L3277,pipe,0.063,834.133684,8.828765588,0.852458948,0.589292004,0.491997647,0.614711582,0.579595431,0.173300458,157985.6341,16774.50586,0.611470365,,0.171234412,0.000205284,2
L51,pipe,0.063,162.791238,8.966622359,0.850779533,0.572032406,0.494772478,0.607601333,0.57991517,0.168721381,164245.3337,16771.96094,0.602015525,,0.033377641,0.000205033,2
Leak_2786,leak,,744.5289006,8.847937833,0.851597226,0.589292004,0.491412522,0.612695644,0.578872193,0.173300458,157975.7537,16774.50195,0.608294134,60,0.152062167,0.000204239,2
L753,pipe,0.05,163.8555,8.967475419,0.850689378,0.571680169,0.4940201,0.608090947,0.579622111,0.168721381,164214.5539,16771.41602,0.601966538,,0.032524581,0.000198496,2
Leak_145,leak,,1133.860597,8.779550801,0.855113303,0.589292004,0.494938351,0.618935816,0.58229088,0.173300458,157995.825,16773.7207,0.618203274,200,0.220449199,0.000194424,2
Leak_211,leak,,960.9969543,8.818448574,0.85293908,0.589292004,0.492230687,0.615975654,0.579577819,0.173652695,158002.5465,16774.37695,0.613132323,75,0.181551426,0.00018892,2
Leak_1613,leak,,858.9456586,8.838130024,0.852836344,0.589644241,0.493203851,0.613079685,0.579608325,0.173300458,158005.0248,16775.04297,0.608914758,63,0.161869976,0.000188452,2
Leak_42,leak,,1111.707583,8.79175226,0.854274644,0.589644241,0.494261676,0.618384134,0.580503803,0.173300458,157966.6471,16775.34375,0.617397848,110,0.20824774,0.000187322,2
L907,pipe,0.075,230.2125,8.957277497,0.850961942,0.571680169,0.494729575,0.608814408,0.580714307,0.168721381,164240.3179,16769.47852,0.603578128,,0.042722503,0.000185579,2
L348,pipe,0.063,93.639244,8.98337487,0.849871685,0.571680169,0.494212956,0.606125893,0.580090397,0.168369144,164277.6558,16769.46094,0.599315575,,0.01662513,0.000177544,2
L2090,pipe,0.15,443.5,8.92754206,0.853911924,0.571327932,0.496551688,0.611035899,0.580268612,0.168369144,164219.4609,16764.5957,0.605662728,,0.07245794,0.000163378,2
Leak_311,leak,,973.4426211,8.841654756,0.844883762,0.588939768,0.481015656,0.613183692,0.570586034,0.173300458,158233.2379,16762.49805,0.608966788,63,0.158345244,0.000162665,2
Leak_1731,leak,,702.0602252,8.887019104,0.853825962,0.572384642,0.494856277,0.615043285,0.584773311,0.169073617,164082.4601,16769.32031,0.612777663,63,0.112980896,0.000160928,2
L854,pipe,0.063,1200.85474,8.808585013,0.853622587,0.589292004,0.49329465,0.616428698,0.580832558,0.173300458,158000.7349,16764.38672,0.614285366,,0.191414987,0.000159399,2
Leak_1203,leak,,546.6213803,8.913880835,0.852666516,0.572032406,0.493622261,0.612378927,0.584237827,0.169425854,164066.1368,16768.66992,0.60838849,32,0.086119165,0.000157548,2
