,mean_head_loss,length,diameter,current_cost,evaluate_flag
L1022,1.0219839,5.78,0.02,0.0,0
L1975,0.9581136,3.31,0.025,149.63625000000002,1
L1156,0.7672554,30.06,0.09,1063.3725,1
L2042,0.18438353,38.37,0.02,669.5564999999999,0
L194,0.1671608,7.91,0.032,0.0,0
L367,0.15008341,11.0,0.02,0.0,0
L1425,0.11216075,3.31,0.063,119.71050000000001,0
L2446,0.10451191,37.25,0.075,0.0,0
L1151,0.099825636,0.59,0.063,67.79700000000001,1
L61,0.09403755,55.15,0.032,0.0,0
L3120,0.09324182,0.11,0.02,37.1685,0
L2093,0.088518225,5.12,0.02,93.18299999999999,0
L1347,0.07560994,4.05,0.032,249.88399999999996,0
L1153,0.06965354,30.21,0.063,1468.3770000000002,1
L1152,0.06700691,60.65,0.063,0.0,1
L1345,0.0652669,7.5,0.032,0.0,0
L634,0.06480066,14.91,0.032,0.0,0
L466,0.061874826,14.59,0.032,1183.6335000000001,0
L2848,0.06007715,1.61,0.11,128.765,0
L130,0.05055199,15.52,0.032,306.9454999999999,0
L2865,0.045191165,2.19,0.075,705.312,0
L2447,0.0447045,64.03,0.075,2104.2180000000003,0
L2043,0.042893548,15.86,0.02,0.0,0
L2041,0.04112076,1.53,0.02,0.0,0
L1569,0.030538673,131.91,0.11,0.0,0
L1465,0.030522829,9.6,0.14,0.0,0
L51,0.030088732,3.72,0.06,162.79123800000002,0
L2525,0.028213171,17.27,0.11,0.0,0
L3119,0.027941098,0.17,0.02,38.564499999999995,0
L2847,0.026290672,23.32,0.11,0.0,0
L1545,0.026152112,10.89,0.075,303.831,0
L1950,0.025922636,14.88,0.063,0.0,0
L1467,0.025499156,77.89,0.14,0.0,0
L349,0.024808379,45.9,0.032,0.0,0
L1466,0.023244549,31.01,0.14,0.0,0
L55,0.022483842,4.26,0.02,134.36499999999998,0
L2450,0.021434005,0.23,0.075,0.0,0
L1150,0.02127571,71.85,0.06,0.0,0
L342,0.021173824,63.95,0.06,0.0,0
L171,0.021031339,7.03,0.032,0.0,0
L346,0.020951096,19.71,0.06,0.0,0
L1063,0.020832196,89.97,0.063,0.0,0
L1450,0.020635474,55.44,0.075,0.0,0
L1386,0.020476963,125.22,0.063,0.0,0
L1568,0.020368582,22.09,0.11,0.0,0
L407,0.020134019,3.36,0.02,0.0,0
L1592,0.020005288,24.03,0.11,0.0,0
L1227,0.01944591,76.63,0.09,0.0,0
L58,0.019146953,138.1,0.06,0.0,0
L2519,0.018627647,125.53,0.075,0.0,0
L1032,0.01854911,42.84,0.032,0.0,0
L360,0.018531136,6.08,0.02,0.0,0
L3115,0.018209977,43.94,0.06,0.0,0
L60,0.018039111,18.65,0.06,0.0,0
L2623,0.01800735,4.76,0.04,0.0,0
L813,0.017807866,0.64,0.06,226.458088,0
L1653,0.017724523,168.01,0.075,0.0,0
L1541,0.017479125,139.74,0.125,0.0,0
L1963,0.017474592,24.22,0.1,856.7824999999999,0
L406,0.017336689,115.29,0.06,0.0,0
L2291,0.016880983,10.5,0.063,1149.3085,0
L436,0.016793199,2.45,0.06,345.36817399999995,0
L1525,0.016730467,33.17,0.11,0.0,0
L503,0.01663109,21.36,0.2,0.0,0
L1382,0.016560283,112.73,0.11,0.0,0
L1508,0.016432643,51.21,0.11,0.0,0
L1009,0.016408995,21.33,0.02,0.0,0
L2508,0.016216615,101.67,0.075,0.0,0
L1472,0.016168483,71.44,0.125,0.0,0
L33,0.01598984,13.45,0.06,0.0,0
L796,0.015956081,6.64,0.032,0.0,0
L1385,0.015727589,47.83,0.063,0.0,0
L2201,0.015371879,64.39,0.04,0.0,0
L244,0.01530434,2.0,0.06,45.644234,0
L761,0.0152722215,2.02,0.06,0.0,0
L305,0.015150783,5.42,0.063,0.0,0
L1387,0.01492325,89.81,0.11,0.0,0
L1638,0.014899573,103.75,0.075,0.0,0
L1381,0.01483966,25.45,0.11,0.0,0
L1637,0.01483658,2.37,0.075,0.0,0
L1010,0.014727581,3.98,0.02,0.0,0
L2727,0.014701659,55.95,0.063,1226.7037500000001,0
L3164,0.014668862,104.79,0.06,0.0,0
L3245,0.014468817,3.38,0.25,0.0,0
L1816,0.014397445,92.31,0.063,0.0,0
L909,0.014305182,32.93,0.063,0.0,0
L3277,0.014288394,15.58,0.06,834.133684,0
L453,0.014113513,4.1,0.025,0.0,0
L759,0.013974905,14.75,0.02,0.0,0
L1478,0.013853967,6.47,0.125,0.0,0
L890,0.013707007,17.42,0.06,0.0,0
L1635,0.013597293,16.14,0.11,0.0,0
L1634,0.013494931,1.23,0.11,0.0,0
L2861,0.013352828,22.31,0.063,0.0,0
L362,0.013277466,83.08,0.02,0.0,0
L1473,0.013196785,7.29,0.125,0.0,0
L2754,0.013055617,44.16,0.11,0.0,0
L636,0.012960221,64.06,0.02,0.0,0
L1503,0.012547465,283.97,0.063,0.0,0
L659,0.012467167,11.0,0.06,0.0,0
L2449,0.012362188,45.28,0.11,0.0,0
L390,0.012227146,16.44,0.06,0.0,0
L1388,0.012216399,116.81,0.063,0.0,0
L300,0.0122027965,1.86,0.032,58.632,0
L2892,0.012200852,5.22,0.11,0.0,0
L419,0.012164856,26.21,0.06,0.0,0
L815,0.012045646,24.5,0.02,0.0,0
L1949,0.012024584,170.96,0.09,0.0,0
L347,0.011932772,5.31,0.06,0.0,0
