,"('V_CO', 'day')","('V_CO', 'night')","('V_MV1', 'day')","('V_MV1', 'night')","('V_MV2', 'day')","('V_MV2', 'night')","('CV7', 'day')","('CV7', 'night')","('CV9', 'day')","('CV9', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0,0.4298,0.1722,0.6129,0.2549,0.2195,0.1078,268651.068,2569.5559,-0.1197
1,0,0,0,0,0,0,0,0,0,1,0.4234,0.1025,0.6037,0.2466,0.2182,0.0965,290690.0569,2569.5552,-0.115
2,0,0,0,0,0,0,0,0,1,0,0.4195,0.1025,0.6074,0.2553,0.2192,0.0983,291786.9582,2721.9033,-0.1345
3,0,0,0,0,0,0,0,0,1,1,0.4351,0.1434,0.6137,0.2572,0.2228,0.1064,277991.8117,2607.9727,-0.1074
4,0,0,0,0,0,0,0,1,0,0,0.4372,0.1085,0.6119,0.2614,0.2231,0.1011,289687.473,2560.1873,-0.1179
5,0,0,0,0,0,0,0,1,0,1,0.4348,0.1592,0.6146,0.2563,0.2201,0.1053,274264.3363,2579.1582,-0.1204
6,0,0,0,0,0,0,0,1,1,0,0.4372,0.1064,0.6093,0.2577,0.2204,0.1011,290589.4971,2636.6775,-0.111
7,0,0,0,0,0,0,0,1,1,1,0.4309,0.1099,0.6107,0.2558,0.2177,0.1025,289716.3269,2579.1729,-0.1276
8,0,0,0,0,0,0,1,0,0,0,0.4308,0.1571,0.6099,0.2603,0.2231,0.1067,275912.0281,2591.8196,-0.1286
9,0,0,0,0,0,0,1,0,0,1,0.429,0.1201,0.6092,0.2553,0.2209,0.1039,286370.6055,2588.5413,-0.1247
10,0,0,0,0,0,0,1,0,1,0,0.4375,0.1493,0.6068,0.2595,0.2206,0.1053,276623.501,2646.4185,-0.1043
11,0,0,0,0,0,0,1,0,1,1,0.4323,0.1088,0.614,0.2573,0.2207,0.1007,288162.6871,2569.5559,-0.1068
12,0,0,0,0,0,0,1,1,0,0,0.4371,0.1324,0.6097,0.2586,0.2172,0.1043,280739.7425,2579.1758,-0.1141
13,0,0,0,0,0,0,1,1,0,1,0.4404,0.168,0.6125,0.2623,0.2193,0.1067,270508.7011,2598.5715,-0.1261
14,0,0,0,0,0,0,1,1,1,0,0.431,0.1441,0.6127,0.2578,0.2183,0.105,279389.7502,2560.1877,-0.162
15,0,0,0,0,0,0,1,1,1,1,0.436,0.1074,0.6105,0.2592,0.2191,0.1,289389.4301,2656.2764,-0.1178
16,0,0,0,0,0,1,0,0,0,0,0.4311,0.1222,0.6111,0.2518,0.2176,0.1036,286124.5214,2569.5654,-0.1121
17,0,0,0,0,0,1,0,0,0,1,0.4319,0.1553,0.6141,0.252,0.2182,0.1064,274733.2642,2560.2983,-0.1301
18,0,0,0,0,0,1,0,0,1,0,0.4306,0.1085,0.6124,0.2546,0.2181,0.1011,290155.2723,2569.5654,-0.1146
19,0,0,0,0,0,1,0,0,1,1,0.4338,0.1515,0.6145,0.2557,0.2185,0.105,273699.9046,2560.2986,-0.1244
20,0,0,0,0,0,1,0,1,0,0,0.4385,0.1641,0.6128,0.2609,0.2182,0.1046,271609.4126,2655.1206,-0.0989
21,0,0,0,0,0,1,0,1,0,1,0.4244,0.1029,0.6102,0.2446,0.215,0.0983,291562.5242,2618.3262,-0.1513
22,0,0,0,0,0,1,0,1,1,0,0.429,0.1039,0.6116,0.2529,0.2163,0.0983,291678.1298,2560.1978,-0.1283
23,0,0,0,0,0,1,0,1,1,1,0.4298,0.1726,0.6069,0.2496,0.2172,0.1088,269103.6492,2636.2476,-0.142
24,0,0,0,0,0,1,1,0,0,0,0.4327,0.1627,0.6076,0.2562,0.2178,0.106,271575.7095,2607.5396,-0.1148
25,0,0,0,0,0,1,1,0,0,1,0.4316,0.105,0.6063,0.2553,0.2181,0.0986,290966.535,2617.5405,-0.1496
26,0,0,0,0,0,1,1,0,1,0,0.4278,0.1036,0.6046,0.2528,0.2174,0.099,291214.4244,2588.5469,-0.1155
27,0,0,0,0,0,1,1,0,1,1,0.4403,0.1289,0.6042,0.2583,0.2195,0.0976,284620.7825,2636.2397,-0.1089
28,0,0,0,0,0,1,1,1,0,0,0.4365,0.1462,0.6083,0.2548,0.2166,0.1053,278119.7937,2598.1689,-0.1244
29,0,0,0,0,0,1,1,1,0,1,0.4417,0.1596,0.6111,0.2614,0.2199,0.1064,275010.9222,2617.2629,-0.1006
30,0,0,0,0,0,1,1,1,1,0,0.4325,0.167,0.6086,0.2564,0.2157,0.1057,271159.4982,2598.6362,-0.1344
31,0,0,0,0,0,1,1,1,1,1,0.4309,0.1053,0.6125,0.256,0.2181,0.1,290045.3621,2560.314,-0.149
32,0,0,0,0,1,0,0,0,0,0,0.4261,0.1014,0.6092,0.2497,0.2195,0.0965,291849.694,2569.5562,-0.1171
33,0,0,0,0,1,0,0,0,0,1,0.418,0.1067,0.6136,0.2518,0.2178,0.0986,289123.9612,2588.5369,-0.1486
34,0,0,0,0,1,0,0,0,1,0,0.4389,0.1011,0.6075,0.2672,0.2229,0.0983,292501.6043,2683.4219,-0.0951
35,0,0,0,0,1,0,0,0,1,1,0.4371,0.1645,0.6055,0.2556,0.2204,0.1053,270801.0512,2607.5215,-0.0885
36,0,0,0,0,1,0,0,1,0,0,0.429,0.1057,0.6067,0.2493,0.2163,0.1011,290600.6333,2636.7361,-0.1348
37,0,0,0,0,1,0,0,1,0,1,0.43,0.1088,0.6114,0.2504,0.2161,0.1007,288397.7739,2560.1882,-0.1263
38,0,0,0,0,1,0,0,1,1,0,0.4365,0.1483,0.6036,0.2563,0.217,0.106,274443.345,2637.1858,-0.1224
39,0,0,0,0,1,0,0,1,1,1,0.4355,0.1398,0.6108,0.2541,0.2186,0.1032,278970.3941,2560.188,-0.1268
40,0,0,0,0,1,0,1,0,0,0,0.4303,0.0997,0.6063,0.2571,0.2198,0.0965,292861.4536,2607.5222,-0.1174
41,0,0,0,0,1,0,1,0,0,1,0.4356,0.1409,0.5963,0.2561,0.2244,0.0824,281069.5847,2664.5339,-0.1037
42,0,0,0,0,1,0,1,0,1,0,0.4415,0.1039,0.6132,0.2656,0.2255,0.0979,290363.79,2569.5559,-0.0858
43,0,0,0,0,1,0,1,0,1,1,0.4347,0.1522,0.6018,0.2543,0.2202,0.1057,274053.6648,2607.5215,-0.1075
44,0,0,0,0,1,0,1,1,0,0,0.4309,0.1546,0.6089,0.2542,0.2162,0.1011,274872.2808,2560.1877,-0.1601
45,0,0,0,0,1,0,1,1,0,1,0.4349,0.1536,0.6085,0.2561,0.2167,0.0993,275917.4725,2601.2754,-0.1295
46,0,0,0,0,1,0,1,1,1,0,0.442,0.1074,0.6079,0.2576,0.2194,0.0983,289050.5103,2636.7456,-0.114
47,0,0,0,0,1,0,1,1,1,1,0.4394,0.1007,0.6044,0.2605,0.2209,0.0969,292476.188,2579.1521,-0.133
48,0,0,0,0,1,1,0,0,0,0,0.4252,0.1476,0.6155,0.2507,0.2184,0.1064,276444.7779,2588.552,-0.1294
49,0,0,0,0,1,1,0,0,0,1,0.4372,0.1036,0.6115,0.2542,0.2176,0.0976,290383.6647,2579.2893,-0.1096
50,0,0,0,0,1,1,0,0,1,0,0.4289,0.1032,0.6011,0.2539,0.2187,0.0983,290493.0897,2626.9089,-0.1138
51,0,0,0,0,1,1,0,0,1,1,0.4289,0.124,0.6084,0.2505,0.2156,0.1029,282413.7509,2579.2817,-0.1458
52,0,0,0,0,1,1,0,1,0,0,0.43,0.1,0.6089,0.2492,0.2174,0.0965,292960.1204,2560.1982,-0.1326
53,0,0,0,0,1,1,0,1,0,1,0.4399,0.1455,0.6097,0.2524,0.2187,0.1021,277772.0391,2560.314,-0.11
54,0,0,0,0,1,1,0,1,1,0,0.4499,0.1011,0.6099,0.2646,0.2224,0.0983,292466.573,2636.1309,-0.093
55,0,0,0,0,1,1,0,1,1,1,0.4476,0.1018,0.6112,0.2627,0.2215,0.0983,292278.5159,2579.2981,-0.1066
56,0,0,0,0,1,1,1,0,0,0,0.427,0.1011,0.6086,0.2569,0.219,0.0969,291972.6443,2569.5649,-0.1222
57,0,0,0,0,1,1,1,0,0,1,0.4393,0.1663,0.6041,0.2616,0.2194,0.106,271929.5815,2636.522,-0.1227
58,0,0,0,0,1,1,1,0,1,0,0.4383,0.1501,0.6038,0.2581,0.2179,0.1039,276369.422,2646.7083,-0.0879
59,0,0,0,0,1,1,1,0,1,1,0.4426,0.1391,0.616,0.2624,0.2225,0.1053,279219.2094,2560.2986,-0.119
60,0,0,0,0,1,1,1,1,0,0,0.4269,0.1409,0.6088,0.2503,0.2154,0.1046,278257.3612,2560.1978,-0.1522
61,0,0,0,0,1,1,1,1,0,1,0.4284,0.1043,0.6027,0.252,0.2166,0.0986,290529.3751,2579.2944,-0.1434
62,0,0,0,0,1,1,1,1,1,0,0.4458,0.1307,0.6138,0.262,0.22,0.1018,283693.395,2560.1978,-0.1072
63,0,0,0,0,1,1,1,1,1,1,0.4328,0.1053,0.6093,0.252,0.2165,0.1011,290710.2084,2560.314,-0.1299
64,0,0,0,1,0,0,0,0,0,0,0.4289,0.1011,0.6172,0.2519,0.2303,0.0976,292549.1516,2598.1653,-0.1217
65,0,0,0,1,0,0,0,0,0,1,0.4387,0.1095,0.6212,0.2565,0.2322,0.1011,288177.186,2654.1631,-0.0925
66,0,0,0,1,0,0,0,0,1,0,0.4357,0.1479,0.6252,0.2561,0.231,0.1043,275871.7035,2560.2073,-0.1133
67,0,0,0,1,0,0,0,0,1,1,0.4407,0.1071,0.6194,0.254,0.2333,0.0993,289098.3701,2579.1926,-0.0929
68,0,0,0,1,0,0,0,1,0,0,0.4479,0.1039,0.6118,0.2608,0.2394,0.0979,290300.8958,2723.8518,-0.0967
69,0,0,0,1,0,0,0,1,0,1,0.445,0.0997,0.6148,0.2585,0.2404,0.0965,292920.5805,2607.6296,-0.1083
