,"('V_LL_1', 'day')","('V_LL_1', 'night')","('CV4', 'day')","('CV4', 'night')","('CV5', 'day')","('CV5', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0.589,0.1342,0.4772,0.3664,0.3266,0.08,282589.3366,2825.3945,0.2482
1,0,0,0,0,0,1,0.5982,0.0849,0.4831,0.3824,0.3284,0.075,297410.0643,2849.0884,0.258
2,0,0,0,0,1,0,0.5954,0.2448,0.4832,0.3697,0.3272,0.08,263186.109,2831.0188,0.2272
3,0,0,0,0,1,1,0.5954,0.2797,0.4838,0.3762,0.3277,0.081,254051.1608,2879.1428,0.2532
4,0,0,0,1,0,0,0.602,0.2311,0.4936,0.3736,0.336,0.0789,267798.0172,2891.3887,0.2532
5,0,0,0,1,0,1,0.5944,0.0814,0.4941,0.3655,0.339,0.074,301083.9292,2871.5437,0.259
6,0,0,0,1,1,0,0.596,0.2814,0.4823,0.3648,0.3284,0.0803,252425.4304,2843.4775,0.2484
7,0,0,0,1,1,1,0.5924,0.1187,0.484,0.3706,0.3317,0.0761,289185.3665,2827.2202,0.2511
8,0,0,1,0,0,0,0.6138,0.2564,0.4947,0.3902,0.3432,0.0793,261923.122,2885.0566,0.2845
9,0,0,1,0,0,1,0.6088,0.248,0.4938,0.3784,0.3412,0.0789,261163.3527,2860.0171,0.2552
10,0,0,1,0,1,0,0.608,0.286,0.4917,0.3834,0.3403,0.0807,249762.8816,2842.938,0.2635
11,0,0,1,0,1,1,0.6062,0.1289,0.4924,0.3814,0.344,0.0736,287530.128,2876.0017,0.2717
12,0,0,1,1,0,0,0.6187,0.2902,0.5057,0.3882,0.349,0.1036,248038.2389,2879.3638,0.2714
13,0,0,1,1,0,1,0.6052,0.3114,0.4877,0.3715,0.3351,0.1071,239233.1203,2802.2407,0.2257
14,0,0,1,1,1,0,0.6088,0.1088,0.4948,0.3769,0.3466,0.1011,289031.7494,2815.626,0.2673
15,0,0,1,1,1,1,0.6109,0.1582,0.5066,0.3792,0.352,0.1032,274249.1466,2879.8174,0.264
16,0,1,0,0,0,0,0.5995,0.3054,0.488,0.3759,0.3301,0.0852,245227.5038,2866.0024,0.24
17,0,1,0,0,0,1,0.6036,0.2511,0.4912,0.3768,0.3354,0.0796,263170.5035,2844.3979,0.2543
18,0,1,0,0,1,0,0.5983,0.2635,0.4864,0.3673,0.332,0.0793,256642.9096,2854.981,0.2424
19,0,1,0,0,1,1,0.6011,0.2339,0.4897,0.3739,0.3323,0.0789,269127.7117,2848.5205,0.2475
20,0,1,0,1,0,0,0.5906,0.2578,0.4876,0.3627,0.3239,0.0803,258690.5779,2859.4839,0.2054
21,0,1,0,1,0,1,0.6024,0.1289,0.4964,0.3744,0.3413,0.0754,285121.2612,2848.6079,0.2747
22,0,1,0,1,1,0,0.5986,0.1279,0.4846,0.3701,0.3291,0.0778,284479.9908,2807.9546,0.2345
23,0,1,0,1,1,1,0.5948,0.2536,0.487,0.3694,0.3271,0.0796,260159.4464,2860.5613,0.2295
24,0,1,1,0,0,0,0.6184,0.1117,0.513,0.3926,0.3584,0.0986,286851.5626,2873.5803,0.2942
25,0,1,1,0,0,1,0.6109,0.1564,0.5048,0.3774,0.3511,0.1018,274160.5375,2819.1804,0.2671
26,0,1,1,0,1,0,0.6061,0.1522,0.5003,0.3725,0.3461,0.1014,273505.3945,2839.5466,0.2494
