,"('V_TR', 'day')","('V_TR', 'night')","('CV8', 'day')","('CV8', 'night')","('CV3', 'day')","('CV3', 'night')","('CV12', 'day')","('CV12', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0.5388,0.1892,0.5253,0.4048,0.3241,0.1032,263264.7538,3080.624,0.1319
1,0,0,0,0,0,0,0,1,0.5372,0.1909,0.5283,0.4019,0.325,0.1078,260731.2854,3099.7981,0.1315
2,0,0,0,0,0,0,1,0,0.5436,0.1895,0.5283,0.3978,0.3245,0.1095,261977.5557,3103.0459,0.137
3,0,0,0,0,0,0,1,1,0.5465,0.1923,0.5264,0.4041,0.3248,0.1095,259968.4396,3092.4873,0.1354
4,0,0,0,0,0,1,0,0,0.5131,0.1673,0.5068,0.3855,0.2995,0.0828,271581.5714,598.6283,0.0931
5,0,0,0,0,0,1,0,1,0.5069,0.1585,0.5058,0.3787,0.2973,0.0778,275103.1905,589.0215,0.0913
6,0,0,0,0,0,1,1,0,0.5227,0.1677,0.5117,0.39,0.3016,0.0828,271820.0421,597.4148,0.094
7,0,0,0,0,0,1,1,1,0.5263,0.1761,0.5136,0.3964,0.3028,0.0845,269037.2757,591.5271,0.0932
8,0,0,0,0,1,0,0,0,0.5128,0.1624,0.509,0.3853,0.3022,0.0828,273717.0205,704.7383,0.0912
9,0,0,0,0,1,0,0,1,0.5122,0.1677,0.509,0.3842,0.3012,0.0828,271813.229,692.6304,0.093
10,0,0,0,0,1,0,1,0,0.5326,0.1578,0.5143,0.3971,0.308,0.081,274456.3568,710.5872,0.1026
11,0,0,0,0,1,0,1,1,0.5313,0.1814,0.512,0.3964,0.3059,0.0845,268270.7886,713.2493,0.1009
12,0,0,0,0,1,1,0,0,0.519,0.1684,0.5082,0.3882,0.3008,0.0828,271526.313,585.6574,0.0964
13,0,0,0,0,1,1,0,1,0.512,0.1677,0.5024,0.377,0.2965,0.0828,271871.0518,568.7397,0.0962
14,0,0,0,0,1,1,1,0,0.527,0.1624,0.5125,0.3922,0.3045,0.0824,274587.5806,597.4953,0.0984
15,0,0,0,0,1,1,1,1,0.5264,0.1793,0.5048,0.3854,0.3015,0.0845,268498.2767,563.9879,0.1025
16,0,0,0,1,0,0,0,0,0.5349,0.192,0.5199,0.3926,0.3203,0.1078,260126.9145,3076.9126,0.134
17,0,0,0,1,0,0,0,1,0.5396,0.1835,0.5307,0.4058,0.3272,0.1078,263403.83,3114.8577,0.1325
18,0,0,0,1,0,0,1,0,0.5498,0.187,0.531,0.4063,0.3312,0.1095,261734.2889,3109.3135,0.1333
