,"('V_CO', 'day')","('V_CO', 'night')","('V_MO1', 'day')","('V_MO1', 'night')","('V_MO2', 'day')","('V_MO2', 'night')","('V_MO3', 'day')","('V_MO3', 'night')","('V_MO4', 'day')","('V_MO4', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0,0.7553,0.5819,0.3675,0.4802,0.547,0.1983,171223.3421,14746.3584,0.399
1,0,0,0,0,0,0,0,0,0,1,0.7542,0.5819,0.3669,0.4823,0.5461,0.1983,171225.8222,14797.3926,0.4014
2,0,0,0,0,0,0,0,0,1,0,0.7552,0.5759,0.3704,0.4807,0.5543,0.2152,173421.4282,14746.3545,0.3972
3,0,0,0,0,0,0,0,0,1,1,0.7556,0.5752,0.3714,0.484,0.555,0.2152,173030.9173,14848.8418,0.4024
4,0,0,0,0,0,0,0,1,0,0,0.7535,0.5819,0.3663,0.4818,0.5446,0.1983,171223.124,14848.5723,0.4009
5,0,0,0,0,0,0,0,1,0,1,0.7535,0.5819,0.3662,0.4818,0.5446,0.1983,171221.8937,14847.958,0.4008
6,0,0,0,0,0,0,0,1,1,0,0.754,0.5625,0.3693,0.4833,0.5521,0.2071,177334.1315,14814.2676,0.4012
7,0,0,0,0,0,0,0,1,1,1,0.7547,0.578,0.3699,0.4843,0.5534,0.2152,172522.1182,14820.3018,0.4027
8,0,0,0,0,0,0,1,0,0,0,0.7559,0.5731,0.3709,0.4818,0.5565,0.2286,173401.0267,14746.3584,0.3986
9,0,0,0,0,0,0,1,0,0,1,0.7544,0.5741,0.3705,0.4826,0.5547,0.2286,173082.578,14797.3965,0.4002
10,0,0,0,0,0,0,1,0,1,0,0.7559,0.5657,0.3711,0.4819,0.5571,0.2244,176826.9451,14752.5674,0.3986
11,0,0,0,0,0,0,1,0,1,1,0.7532,0.5417,0.3691,0.4805,0.5533,0.2177,180453.8737,14797.3975,0.3983
12,0,0,0,0,0,0,1,1,0,0,0.7554,0.5678,0.3702,0.4855,0.5556,0.2233,175224.4246,14824.0244,0.4037
13,0,0,0,0,0,0,1,1,0,1,0.7535,0.5248,0.3692,0.4828,0.5534,0.2018,189490.342,14813.6504,0.3998
14,0,0,0,0,0,0,1,1,1,0,0.7557,0.5713,0.3709,0.486,0.5561,0.23,173507.3049,14824.0508,0.405
15,0,0,0,0,0,0,1,1,1,1,0.755,0.5682,0.3705,0.485,0.5556,0.2297,175231.5917,14823.5615,0.4047
16,0,0,0,0,0,1,0,0,0,0,0.771,0.5822,0.3858,0.4888,0.581,0.1983,171502.7478,14644.3994,0.4201
17,0,0,0,0,0,1,0,0,0,1,0.7783,0.5749,0.3704,0.5059,0.5919,0.2078,173129.7541,15001.6436,0.4423
18,0,0,0,0,0,1,0,0,1,0,0.7695,0.5463,0.3876,0.4871,0.5861,0.2145,181594.0116,14627.251,0.4175
19,0,0,0,0,0,1,0,0,1,1,0.7778,0.5777,0.3716,0.5036,0.5958,0.2156,173014.2974,15001.6475,0.4395
20,0,0,0,0,0,1,0,1,0,0,0.7789,0.5907,0.36,0.5063,0.5891,0.2103,168413.2463,15102.082,0.4429
21,0,0,0,0,0,1,0,1,0,1,0.7783,0.5819,0.3539,0.5064,0.5856,0.2018,173359.101,15153.6504,0.4426
22,0,0,0,0,0,1,0,1,1,0,0.7794,0.5858,0.362,0.5064,0.5948,0.236,170232.5097,15102.083,0.4425
23,0,0,0,0,0,1,0,1,1,1,0.7789,0.5858,0.356,0.5069,0.5914,0.236,170245.6786,15136.498,0.442
24,0,0,0,0,0,1,1,0,0,0,0.7713,0.5741,0.3889,0.4901,0.5898,0.2282,173090.9685,14627.2529,0.4218
25,0,0,0,0,0,1,1,0,0,1,0.7754,0.4998,0.3702,0.4991,0.5938,0.1782,198651.0044,15001.6416,0.4351
26,0,0,0,0,0,1,1,0,1,0,0.7708,0.4487,0.389,0.4896,0.5899,0.1543,210962.9764,14627.251,0.4232
27,0,0,0,0,0,1,1,0,1,1,0.7773,0.5826,0.3714,0.5025,0.5964,0.2476,170806.1725,15001.6455,0.4389
