,time,evaluations,actions,cost,used budget,1,2,3,4,5,6,7,8,9
0,43004.852972745895,1141,16,15792.947833831713,15792.947833831713,0.9387,0.7872,0.2672,0.7768,0.8014,0.5298,93824.7911,16416.3652,0.798
0,1359.1272394657135,37,7,15165.391359240934,30958.339193072647,0.9374,0.7862,0.2659,0.7785,0.8004,0.5291,94530.0763,16405.1914,0.8011
0,1400.7688813209534,38,3,6105.11582201117,37063.45501508382,0.9396,0.7865,0.2672,0.7805,0.8034,0.5298,94485.3097,16394.0898,0.8027
0,1396.1160016059875,38,7,14375.982694561862,51439.43770964568,0.9392,0.7862,0.2669,0.781,0.8037,0.5287,94448.9855,16415.4863,0.8037
0,1351.3352270126343,36,7,12462.19393075554,63901.63164040122,0.9423,0.7869,0.2692,0.7875,0.8083,0.5319,93997.5029,16348.6133,0.8115
0,1355.559374332428,37,3,11150.35137877721,75051.98301917843,0.9421,0.788,0.2696,0.7862,0.8085,0.5322,93504.6904,16358.498,0.8094
0,1285.0498187541962,35,5,16187.487056833175,91239.47007601161,0.9444,0.7869,0.271,0.7863,0.8118,0.5315,94150.9767,16380.4805,0.8101
0,1354.7857749462128,37,7,13625.777300287822,104865.24737629943,0.9402,0.7872,0.2677,0.7836,0.8056,0.5319,93990.4801,16369.5049,0.8064
0,1329.2621574401855,36,7,12836.678250000003,117701.92562629943,0.9412,0.7872,0.2684,0.7823,0.807,0.5319,93915.4728,16370.0156,0.8044
0,1289.5325455665588,35,8,12254.961056542103,129956.88668284153,0.9407,0.7887,0.267,0.7841,0.8063,0.5329,93278.597,16404.582,0.8076
0,1286.690763950348,35,11,15159.209138194698,145116.09582103623,0.9384,0.7876,0.2648,0.7853,0.8032,0.5326,93932.2688,16404.3438,0.8089
0,1356.8487107753754,37,10,15054.7050673788,160170.80088841502,0.9391,0.7872,0.265,0.7838,0.8042,0.5326,93980.4323,16415.7344,0.8065
0,1323.2059440612793,36,6,14797.473000000002,174968.27388841502,0.9398,0.7887,0.2646,0.7836,0.8046,0.5333,92989.0578,16337.792,0.8044
