,"('V_CO', 'day')","('V_CO', 'night')","('V_MV1', 'day')","('V_MV1', 'night')","('V_MV2', 'day')","('V_MV2', 'night')","('CV7', 'day')","('CV7', 'night')","('CV9', 'day')","('CV9', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0,0.7928,0.5808,0.3627,0.5645,0.6048,0.2332,175003.1782,15118.0928,0.4972
1,0,0,0,0,0,0,0,0,0,1,0.79,0.5322,0.3605,0.5597,0.5985,0.1793,189364.8489,15102.7168,0.4962
2,0,0,0,0,0,0,0,0,1,0,0.7905,0.5481,0.361,0.5586,0.5989,0.1567,183300.483,15090.8516,0.4969
3,0,0,0,0,0,0,0,0,1,1,0.7874,0.3762,0.3598,0.5562,0.5948,0.1113,233684.6649,15062.2793,0.4964
4,0,0,0,0,0,0,0,1,0,0,0.8046,0.5939,0.3616,0.5633,0.605,0.2578,172003.3312,15042.7998,0.4971
5,0,0,0,0,0,0,0,1,0,1,0.8073,0.5498,0.3645,0.5679,0.6072,0.1564,183610.2946,15055.6094,0.5071
6,0,0,0,0,0,0,0,1,1,0,0.8037,0.417,0.3619,0.5633,0.604,0.1349,222085.6167,15040.832,0.5031
7,0,0,0,0,0,0,0,1,1,1,0.8035,0.46,0.3608,0.5622,0.6048,0.1687,214815.8453,15060.2139,0.5012
8,0,0,0,0,0,0,1,0,0,0,0.804,0.4889,0.3596,0.5659,0.5997,0.1465,200662.0517,15063.9492,0.5165
9,0,0,0,0,0,0,1,0,0,1,0.8081,0.5558,0.3637,0.573,0.6045,0.1796,182586.3981,15063.0664,0.5236
10,0,0,0,0,0,0,1,0,1,0,0.8008,0.4826,0.3574,0.5589,0.5941,0.1888,202078.8027,15056.3301,0.5123
11,0,0,0,0,0,0,1,0,1,1,0.8052,0.5682,0.3591,0.5679,0.5974,0.2015,178998.2708,15066.9248,0.5205
12,0,0,0,0,0,0,1,1,0,0,0.8162,0.3822,0.36,0.5679,0.6011,0.1166,232691.7794,15042.9512,0.5241
13,0,0,0,0,0,0,1,1,0,1,0.8161,0.5653,0.3582,0.5637,0.6011,0.198,178192.891,15044.4961,0.5142
14,0,0,0,0,0,0,1,1,1,0,0.8222,0.2677,0.3632,0.5798,0.6132,0.1007,257252.6161,15066.3828,0.5372
15,0,0,0,0,0,0,1,1,1,1,0.8183,0.46,0.3627,0.57,0.606,0.1504,215302.5229,15045.8105,0.5251
16,0,0,0,0,0,1,0,0,0,0,0.7858,0.4308,0.3574,0.554,0.5937,0.1624,224212.7628,15062.1963,0.4917
17,0,0,0,0,0,1,0,0,0,1,0.8051,0.5562,0.3614,0.5617,0.6052,0.1853,182814.552,15042.7988,0.5032
18,0,0,0,0,0,1,0,0,1,0,0.7907,0.5481,0.3625,0.5624,0.603,0.2304,187108.7976,15087.1494,0.4977
19,0,0,0,0,0,1,0,0,1,1,0.8062,0.5646,0.3627,0.5621,0.605,0.1747,179473.2027,15052.5664,0.5039
20,0,0,0,0,0,1,0,1,0,0,0.803,0.5245,0.3623,0.5597,0.6007,0.162,190671.2711,15038.4297,0.501
21,0,0,0,0,0,1,0,1,0,1,0.8037,0.4854,0.3612,0.5583,0.6023,0.1486,205190.3161,15036.6914,0.4998
