,"('V_CO', 'day')","('V_CO', 'night')","('V_PE1', 'day')","('V_PE1', 'night')","('V_PE2', 'day')","('V_PE2', 'night')","('CV3', 'day')","('CV3', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0.8984,0.6759,0.2715,0.6914,0.7355,0.2776,135025.2719,15079.1133,0.7057
1,0,0,0,0,0,0,0,1,0.898,0.701,0.2642,0.692,0.7344,0.4325,126690.414,15312.4111,0.7058
2,0,0,0,0,0,0,1,0,0.9024,0.7982,0.2607,0.7078,0.74,0.5562,90467.9576,15574.5498,0.7093
3,0,0,0,0,0,0,1,1,0.9021,0.8035,0.2554,0.7091,0.7383,0.5565,88751.0507,15801.6543,0.71
4,0,0,0,0,0,1,0,0,0.8975,0.67,0.2635,0.6908,0.7335,0.3804,138887.1362,15276.168,0.7055
5,0,0,0,0,0,1,0,1,0.8967,0.633,0.2631,0.6885,0.7314,0.3181,149931.1758,15325.7432,0.7049
6,0,0,0,0,0,1,1,0,0.9027,0.7922,0.2548,0.7093,0.7396,0.5474,92009.8708,15817.8145,0.7105
7,0,0,0,0,0,1,1,1,0.9029,0.6939,0.2565,0.7099,0.7405,0.4808,133749.6381,15823.4941,0.712
8,0,0,0,0,1,0,0,0,0.9032,0.7136,0.2598,0.7102,0.738,0.2987,122633.3025,15334.5762,0.7145
9,0,0,0,0,1,0,0,1,0.9036,0.7756,0.2549,0.713,0.7384,0.5114,100648.3472,15584.4072,0.7151
10,0,0,0,0,1,0,1,0,0.9024,0.7742,0.2593,0.7088,0.7379,0.5132,101046.9145,15322.2988,0.7113
11,0,0,0,0,1,0,1,1,0.9022,0.7742,0.2543,0.7102,0.7365,0.5132,101050.695,15561.6133,0.7119
12,0,0,0,0,1,1,0,0,0.9041,0.7675,0.2549,0.7129,0.7398,0.5104,104442.9638,15549.1055,0.7155
13,0,0,0,0,1,1,0,1,0.9035,0.7105,0.2549,0.7124,0.7375,0.3279,124545.4355,15598.8594,0.7158
14,0,0,0,0,1,1,1,0,0.9029,0.7742,0.2544,0.7104,0.7377,0.5132,101051.3919,15525.2939,0.7123
15,0,0,0,0,1,1,1,1,0.9026,0.7739,0.255,0.7104,0.7369,0.5132,101053.8965,15581.5869,0.7121
16,0,0,0,1,0,0,0,0,0.899,0.7002,0.2655,0.6962,0.7381,0.4333,128016.5716,15292.4688,0.7107
17,0,0,0,1,0,0,0,1,0.8991,0.6921,0.2648,0.6967,0.7391,0.478,134295.3575,15292.5361,0.7108
18,0,0,0,1,0,0,1,0,0.9024,0.8038,0.2567,0.7121,0.7415,0.5586,87660.1841,15822.6016,0.7126
19,0,0,0,1,0,0,1,1,0.9012,0.8006,0.256,0.7105,0.7398,0.5558,88206.3457,15803.0479,0.7109
20,0,0,0,1,0,1,0,0,0.8972,0.6576,0.2636,0.6929,0.7338,0.2293,141461.2466,15327.8662,0.7116
21,0,0,0,1,0,1,0,1,0.8968,0.658,0.2641,0.693,0.7345,0.3927,151174.218,15325.7324,0.7076
22,0,0,0,1,0,1,1,0,0.9003,0.7679,0.2545,0.7089,0.7383,0.521,102533.2378,15813.0645,0.7094
23,0,0,0,1,0,1,1,1,0.8996,0.6802,0.2555,0.7076,0.7372,0.4382,133768.2444,15821.6641,0.709
24,0,0,0,1,1,0,0,0,0.9019,0.7253,0.2544,0.7122,0.7382,0.4135,119492.2457,15566.3721,0.7148
25,0,0,0,1,1,0,0,1,0.9009,0.7122,0.2541,0.7097,0.7363,0.3068,123433.8205,15529.6455,0.7128
26,0,0,0,1,1,0,1,0,0.902,0.7714,0.2555,0.7117,0.7386,0.5132,101957.6781,15479.3662,0.7129
27,0,0,0,1,1,0,1,1,0.9008,0.771,0.2546,0.7103,0.7371,0.5132,102215.2128,15516.4053,0.7114
28,0,0,0,1,1,1,0,0,0.9014,0.7622,0.2541,0.7119,0.7379,0.5044,105408.2185,15595.8496,0.7137
29,0,0,0,1,1,1,0,1,0.9015,0.7175,0.2542,0.7113,0.7363,0.3012,120470.2695,15565.9785,0.7144
30,0,0,0,1,1,1,1,0,0.9006,0.7718,0.2542,0.71,0.7367,0.5132,102164.8895,15559.4072,0.711
31,0,0,0,1,1,1,1,1,0.9006,0.7714,0.2548,0.7103,0.7364,0.5132,102218.7291,15581.5781,0.7113
32,0,0,1,0,0,0,0,0,0.8986,0.7714,0.2595,0.7118,0.7395,0.5093,102857.8593,15340.9375,0.7063
33,0,0,1,0,0,0,0,1,0.8978,0.7112,0.2539,0.7122,0.7365,0.2983,123901.7498,15715.4072,0.7072
34,0,0,1,0,0,0,1,0,0.8979,0.7644,0.2587,0.7109,0.7379,0.4512,104946.5275,15317.2998,0.7054
35,0,0,1,0,0,0,1,1,0.8971,0.7288,0.2533,0.7106,0.7351,0.286,117058.5888,15509.2764,0.7055
36,0,0,1,0,0,1,0,0,0.8987,0.7358,0.2538,0.7128,0.7388,0.484,117056.3488,15542.8389,0.707
37,0,0,1,0,0,1,0,1,0.8984,0.6943,0.2537,0.7122,0.7374,0.3124,131066.0475,15598.8066,0.708
38,0,0,1,0,0,1,1,0,0.8979,0.7267,0.2524,0.7111,0.7362,0.3575,119172.0599,15525.5938,0.7059
39,0,0,1,0,0,1,1,1,0.8976,0.7809,0.2542,0.7109,0.7365,0.5238,98184.5221,15530.1191,0.7045
40,0,0,1,0,1,0,0,0,0.8983,0.7682,0.2596,0.7111,0.739,0.5104,104546.382,15334.5781,0.7047
41,0,0,1,0,1,0,0,1,0.898,0.6837,0.2542,0.7136,0.739,0.5294,133675.18,15577.9873,0.7075
42,0,0,1,0,1,0,1,0,0.8977,0.771,0.2592,0.7102,0.7375,0.5114,103009.143,15317.3057,0.7049
43,0,0,1,0,1,0,1,1,0.8974,0.771,0.2536,0.7114,0.736,0.5114,103032.238,15513.4902,0.7053
44,0,0,1,0,1,1,0,0,0.8992,0.7735,0.2542,0.7131,0.74,0.5146,102340.5925,15542.8105,0.706
45,0,0,1,0,1,1,0,1,0.8972,0.7133,0.2538,0.7098,0.7359,0.3691,128595.2235,15598.8125,0.7044
46,0,0,1,0,1,1,1,0,0.8987,0.8042,0.2537,0.7131,0.7384,0.5639,89741.2473,15513.334,0.7068
47,0,0,1,0,1,1,1,1,0.898,0.771,0.2539,0.712,0.7367,0.5114,102996.7661,15512.9824,0.706
48,0,0,1,1,0,0,0,0,0.8964,0.6664,0.2539,0.7118,0.7372,0.2455,136851.8547,15684.6875,0.7066
49,0,0,1,1,0,0,0,1,0.8964,0.7714,0.2541,0.7121,0.738,0.5093,102859.0579,15665.9014,0.705
50,0,0,1,1,0,0,1,0,0.897,0.7538,0.254,0.7129,0.7377,0.4089,109164.6557,15513.1201,0.7064
51,0,0,1,1,0,0,1,1,0.8959,0.771,0.2541,0.7112,0.7367,0.5111,103049.5396,15511.5049,0.7039
52,0,0,1,1,0,1,0,0,0.8966,0.7284,0.2536,0.7131,0.7386,0.5153,115456.8659,15594.2793,0.7063
53,0,0,1,1,0,1,0,1,0.8966,0.8042,0.2542,0.7132,0.7379,0.5594,87082.41,15615.9473,0.7057
54,0,0,1,1,0,1,1,0,0.8959,0.7954,0.2531,0.7118,0.7369,0.553,90724.4199,15576.9346,0.7042
55,0,0,1,1,0,1,1,1,0.8958,0.7164,0.2536,0.7117,0.7358,0.3156,121314.7656,15530.1113,0.705
56,0,0,1,1,1,0,0,0,0.8971,0.771,0.2543,0.7134,0.7388,0.5104,103008.0409,15547.5391,0.706
57,0,0,1,1,1,0,0,1,0.896,0.7707,0.2538,0.7113,0.7371,0.5107,102737.6025,15552.3145,0.7039
58,0,0,1,1,1,0,1,0,0.897,0.771,0.2539,0.7131,0.738,0.5114,103012.491,15534.5781,0.7065
59,0,0,1,1,1,0,1,1,0.8961,0.771,0.2541,0.7118,0.7367,0.5114,103012.615,15494.3643,0.7048
60,0,0,1,1,1,1,0,0,0.8961,0.7767,0.2525,0.712,0.7372,0.5206,99960.5052,15577.1562,0.7045
61,0,0,1,1,1,1,0,1,0.8963,0.7735,0.254,0.7125,0.7373,0.5203,101339.8413,15599.5527,0.7048
62,0,0,1,1,1,1,1,0,0.8959,0.771,0.2533,0.7118,0.7364,0.5114,103012.9098,15576.9453,0.7049
63,0,0,1,1,1,1,1,1,0.896,0.771,0.254,0.7118,0.7361,0.5114,103016.5229,15512.9727,0.7047
64,0,1,0,0,0,0,0,0,0.918,0.701,0.2719,0.7164,0.7659,0.2776,126047.4904,15597.7754,0.7373
65,0,1,0,0,0,0,0,1,0.9186,0.7545,0.2674,0.7183,0.7674,0.4843,108928.1492,15746.9395,0.7391
66,0,1,0,0,0,0,1,0,0.9215,0.7601,0.2644,0.7303,0.7711,0.4079,105452.3977,16161.208,0.7407
67,0,1,0,0,0,0,1,1,0.9216,0.8161,0.26,0.7323,0.771,0.5678,81377.1632,16648.1895,0.742
68,0,1,0,0,0,1,0,0,0.9199,0.7682,0.2698,0.721,0.7706,0.4981,104163.5922,15740.2129,0.7425
69,0,1,0,0,0,1,0,1,0.9201,0.59,0.2695,0.7229,0.7702,0.2198,163609.2901,15776.2305,0.7484
70,0,1,0,0,0,1,1,0,0.9228,0.7749,0.2615,0.7351,0.7733,0.4435,100348.3016,16664.2227,0.7463
71,0,1,0,0,0,1,1,1,0.9237,0.8274,0.262,0.7379,0.7744,0.5819,76650.9422,16698.7129,0.7491
72,0,1,0,0,1,0,0,0,0.9217,0.8098,0.263,0.7315,0.7699,0.5611,85135.9111,16037.4541,0.7408
73,0,1,0,0,1,0,0,1,0.9222,0.8112,0.259,0.7344,0.7698,0.5611,84674.4609,16196.9639,0.7435
74,0,1,0,0,1,0,1,0,0.9216,0.8126,0.2629,0.7324,0.7696,0.5646,84487.3451,15955.5625,0.7417
75,0,1,0,0,1,0,1,1,0.9219,0.8123,0.2588,0.7352,0.7692,0.5646,84430.8024,16201.7031,0.7446
76,0,1,0,0,1,1,0,0,0.9232,0.8232,0.2606,0.7363,0.7724,0.5759,78698.8751,16230.998,0.7458
77,0,1,0,0,1,1,0,1,0.9238,0.8232,0.261,0.739,0.7727,0.5759,78729.6407,16230.9668,0.7495
78,0,1,0,0,1,1,1,0,0.9238,0.8274,0.2612,0.7393,0.7733,0.5794,78163.2582,16269.8867,0.7495
79,0,1,0,0,1,1,1,1,0.9238,0.8274,0.2608,0.7404,0.7725,0.5794,78172.3435,16252.9141,0.7511
80,0,1,0,1,0,0,0,0,0.9195,0.7647,0.2703,0.7223,0.7709,0.5107,105317.6292,15791.168,0.7445
81,0,1,0,1,0,0,0,1,0.9198,0.7189,0.2692,0.7244,0.7712,0.4459,121639.2074,15757.3535,0.7479
82,0,1,0,1,0,0,1,0,0.9226,0.8186,0.2623,0.7374,0.7745,0.5791,79920.4397,16681.6973,0.7483
83,0,1,0,1,0,0,1,1,0.9221,0.8105,0.2606,0.7364,0.7733,0.5678,83099.1228,16681.2754,0.747
84,0,1,0,1,0,1,0,0,0.9185,0.6055,0.2691,0.7227,0.7685,0.2142,152420.3932,15791.5225,0.7486
