,"('V_CO', 'day')","('V_CO', 'night')","('V_MV1', 'day')","('V_MV1', 'night')","('V_MV2', 'day')","('V_MV2', 'night')","('CV7', 'day')","('CV7', 'night')","('CV9', 'day')","('CV9', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0,0.8332,0.7126,0.246,0.648,0.6743,0.4611,128177.9774,15448.7168,0.5921
1,0,0,0,0,0,0,0,0,0,1,0.8333,0.7129,0.2461,0.648,0.6743,0.4611,128127.9109,15448.7129,0.5922
2,0,0,0,0,0,0,0,0,1,0,0.8334,0.7126,0.2461,0.6483,0.6744,0.4607,128227.9495,15448.7109,0.5925
3,0,0,0,0,0,0,0,0,1,1,0.8334,0.7133,0.246,0.648,0.6743,0.4611,128152.936,15448.7168,0.5922
4,0,0,0,0,0,0,0,1,0,0,0.8489,0.7482,0.2466,0.6511,0.6815,0.5107,112946.8142,15449.2969,0.5988
5,0,0,0,0,0,0,0,1,0,1,0.8487,0.7129,0.2465,0.6498,0.6809,0.4611,128160.9419,15432.1641,0.5981
6,0,0,0,0,0,0,0,1,1,0,0.8484,0.7129,0.2463,0.6496,0.6806,0.4611,128163.6246,15432.1641,0.5978
7,0,0,0,0,0,0,0,1,1,1,0.8486,0.7126,0.2465,0.6497,0.6808,0.4611,128165.2751,15432.168,0.5979
8,0,0,0,0,0,0,1,0,0,0,0.8514,0.6636,0.2429,0.6494,0.6707,0.4061,147155.5274,15410.2773,0.614
9,0,0,0,0,0,0,1,0,0,1,0.8513,0.6636,0.243,0.6495,0.6707,0.4061,147166.0229,15410.2754,0.614
10,0,0,0,0,0,0,1,0,1,0,0.8513,0.6636,0.2429,0.6494,0.6707,0.4061,147165.0638,15410.2773,0.614
11,0,0,0,0,0,0,1,0,1,1,0.8512,0.6636,0.2429,0.6494,0.6706,0.4061,147167.4457,15410.2734,0.6139
12,0,0,0,0,0,0,1,1,0,0,0.8663,0.6731,0.2434,0.653,0.6774,0.4082,141386.6825,15421.9717,0.6209
13,0,0,0,0,0,0,1,1,0,1,0.8667,0.6879,0.2434,0.6534,0.6779,0.4188,134415.3872,15425.9355,0.6209
14,0,0,0,0,0,0,1,1,1,0,0.8661,0.6724,0.2433,0.6529,0.6773,0.4082,141716.3403,15421.9717,0.6208
15,0,0,0,0,0,0,1,1,1,1,0.8663,0.6798,0.2434,0.653,0.6772,0.4082,138973.4204,15418.7607,0.6209
16,0,0,0,0,0,1,0,0,0,0,0.8333,0.7126,0.2464,0.648,0.6743,0.4611,128323.0756,15448.7363,0.5921
17,0,0,0,0,0,1,0,0,0,1,0.8495,0.7133,0.2472,0.6502,0.6832,0.4611,128135.7666,15432.167,0.5993
18,0,0,0,0,0,1,0,0,1,0,0.8333,0.7129,0.2463,0.6479,0.6742,0.4611,128146.7501,15448.7373,0.5921
19,0,0,0,0,0,1,0,0,1,1,0.8495,0.7133,0.2471,0.6502,0.6832,0.4611,128153.8093,15432.166,0.5994
20,0,0,0,0,0,1,0,1,0,0,0.8483,0.7129,0.2466,0.6496,0.6805,0.4611,128142.0894,15432.1875,0.5977
21,0,0,0,0,0,1,0,1,0,1,0.8496,0.7133,0.2471,0.6503,0.6832,0.4611,128140.925,15449.3516,0.5995
22,0,0,0,0,0,1,0,1,1,0,0.8483,0.7126,0.2466,0.6496,0.6805,0.4611,128163.093,15432.1914,0.5978
23,0,0,0,0,0,1,0,1,1,1,0.8495,0.7129,0.2471,0.6502,0.6831,0.4611,128174.6965,15432.2021,0.5994
24,0,0,0,0,0,1,1,0,0,0,0.8522,0.7052,0.2435,0.6515,0.6718,0.4495,131584.1081,15410.3008,0.615
25,0,0,0,0,0,1,1,0,0,1,0.8676,0.6798,0.2444,0.6538,0.68,0.4082,138938.4012,15396.666,0.6228
26,0,0,0,0,0,1,1,0,1,0,0.851,0.6474,0.2431,0.649,0.6705,0.3903,151548.5213,15410.2969,0.6135
27,0,0,0,0,0,1,1,0,1,1,0.8675,0.6865,0.2442,0.6537,0.6795,0.3096,137685.7957,15394.4316,0.6228
28,0,0,0,0,0,1,1,1,0,0,0.8665,0.6788,0.2437,0.6531,0.6777,0.4082,139745.7807,15413.6406,0.6211
29,0,0,0,0,0,1,1,1,0,1,0.8683,0.715,0.2445,0.6559,0.6811,0.4498,127258.454,15401.793,0.6238
