,"('CV1', 'day')","('CV1', 'night')","('CV6', 'day')","('CV6', 'night')","('CV12', 'day')","('CV12', 'night')","('V_TR', 'day')","('V_TR', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0.915,0.6636,0.3525,0.7508,0.7547,0.2526,118828.3351,14730.0439,0.7963
1,0,0,0,0,0,0,0,1,0.914,0.6657,0.3486,0.7538,0.7521,0.2526,118688.4307,14719.9268,0.7998
2,0,0,0,0,0,0,1,0,0.9234,0.6738,0.3569,0.7505,0.7759,0.2536,116987.9512,14954.332,0.7916
3,0,0,0,0,0,0,1,1,0.9241,0.6707,0.3565,0.7508,0.7783,0.2536,117801.4186,14902.8799,0.784
4,0,0,0,0,0,1,0,0,0.9144,0.6611,0.3467,0.7518,0.7529,0.243,120293.8589,14844.1348,0.7974
5,0,0,0,0,0,1,0,1,0.9077,0.6492,0.3327,0.7371,0.7388,0.2469,122701.0744,14884.9854,0.7821
6,0,0,0,0,0,1,1,0,0.9205,0.6615,0.3496,0.7436,0.7707,0.2494,119729.3395,15081.9775,0.784
7,0,0,0,0,0,1,1,1,0.918,0.6707,0.3385,0.7428,0.762,0.2494,117990.865,15129.8047,0.7776
8,0,0,0,0,1,0,0,0,0.9252,0.6344,0.3506,0.7625,0.7759,0.223,141248.0633,14680.1045,0.785
9,0,0,0,0,1,0,0,1,0.9185,0.6203,0.3436,0.7479,0.7657,0.2177,148655.98,14608.4639,0.7684
10,0,0,0,0,1,0,1,0,0.9231,0.6971,0.3474,0.7481,0.7786,0.2652,118845.6286,14850.7617,0.7598
11,0,0,0,0,1,0,1,1,0.9201,0.6971,0.3427,0.7451,0.772,0.2614,118539.4301,14865.2402,0.7585
12,0,0,0,0,1,1,0,0,0.9228,0.6943,0.3445,0.7536,0.7794,0.3413,130221.6218,14728.4814,0.7663
13,0,0,0,0,1,1,0,1,0.9195,0.6943,0.3336,0.7507,0.7697,0.3413,130221.6846,14801.3613,0.7635
14,0,0,0,0,1,1,1,0,0.9238,0.8263,0.3448,0.7485,0.7835,0.5759,75996.4278,14949.0254,0.756
15,0,0,0,0,1,1,1,1,0.9207,0.8256,0.3338,0.7458,0.7727,0.5756,76344.0632,15016.7285,0.7537
16,0,0,0,1,0,0,0,0,0.9133,0.6562,0.3501,0.7473,0.7509,0.2515,120473.5211,15184.7305,0.7928
17,0,0,0,1,0,0,0,1,0.9151,0.6657,0.35,0.7548,0.7533,0.2526,118684.8664,15155.7539,0.8009
18,0,0,0,1,0,0,1,0,0.9242,0.6738,0.3543,0.7502,0.7783,0.2536,116861.1011,15444.8613,0.7874
19,0,0,0,1,0,0,1,1,0.9208,0.6738,0.349,0.7454,0.7702,0.2536,116781.3119,15433.2373,0.7806
20,0,0,0,1,0,1,0,0,0.9176,0.6569,0.3464,0.7566,0.7568,0.2518,120555.3684,15283.8281,0.8023
21,0,0,0,1,0,1,0,1,0.9091,0.6534,0.3321,0.7371,0.7412,0.2473,121519.9329,15358.8672,0.7832
22,0,0,0,1,0,1,1,0,0.919,0.6703,0.3416,0.7391,0.7651,0.2494,118133.0468,15592.8672,0.776
23,0,0,0,1,0,1,1,1,0.9135,0.6657,0.3284,0.7332,0.7511,0.249,118671.5274,15669.2402,0.7706
24,0,0,0,1,1,0,0,0,0.9262,0.6347,0.3502,0.7626,0.7767,0.2275,141235.0622,15091.2939,0.7856
25,0,0,0,1,1,0,0,1,0.9242,0.6182,0.3497,0.7614,0.7752,0.2233,149248.1772,15029.1396,0.7858
26,0,0,0,1,1,0,1,0,0.9242,0.7013,0.3444,0.7498,0.7789,0.2681,118208.7455,15331.1172,0.7627
27,0,0,0,1,1,0,1,1,0.9205,0.6978,0.3402,0.7462,0.7723,0.2614,118680.885,15339.959,0.7598
28,0,0,0,1,1,1,0,0,0.924,0.6943,0.3433,0.7497,0.7797,0.3413,130219.896,15048.8555,0.7623
29,0,0,0,1,1,1,0,1,0.9219,0.6943,0.3327,0.7546,0.7718,0.3413,130219.5865,15190.1748,0.77
30,0,0,0,1,1,1,1,0,0.924,0.8271,0.3419,0.7469,0.7825,0.5763,75754.4708,15327.5967,0.7544
31,0,0,0,1,1,1,1,1,0.9208,0.8263,0.3303,0.7443,0.7718,0.5752,76066.6352,15466.584,0.7517
32,0,0,1,0,0,0,0,0,0.9173,0.658,0.349,0.754,0.7534,0.2501,120252.6397,15295.2812,0.8022
33,0,0,1,0,0,0,0,1,0.9161,0.6626,0.342,0.755,0.7507,0.2522,118983.4932,15354.3027,0.8037
34,0,0,1,0,0,0,1,0,0.9273,0.6759,0.3497,0.7552,0.7804,0.2543,116365.0875,16098.1943,0.7891
35,0,0,1,0,0,0,1,1,0.9277,0.6742,0.3527,0.7561,0.7833,0.2543,116572.894,16079.8262,0.7862
36,0,0,1,0,0,1,0,0,0.9173,0.6622,0.3429,0.7525,0.7543,0.2526,119726.7476,15343.7539,0.8025
37,0,0,1,0,0,1,0,1,0.9095,0.6527,0.328,0.7392,0.7365,0.2469,121776.9804,15297.8672,0.7863
38,0,0,1,0,0,1,1,0,0.9217,0.6678,0.3414,0.7438,0.7696,0.2494,118370.5207,16091.7578,0.78
39,0,0,1,0,0,1,1,1,0.919,0.6685,0.3312,0.7425,0.7613,0.249,118403.6366,16131.2402,0.7762
40,0,0,1,0,1,0,0,0,0.9306,0.6287,0.3467,0.7666,0.7785,0.224,145435.7884,15079.042,0.7967
41,0,0,1,0,1,0,0,1,0.9269,0.6337,0.3437,0.7585,0.7725,0.2226,141439.4577,15066.9736,0.7858
42,0,0,1,0,1,0,1,0,0.9276,0.6988,0.3401,0.7514,0.7802,0.2656,119757.6989,15660.2314,0.766
43,0,0,1,0,1,0,1,1,0.9248,0.6988,0.3381,0.7494,0.7754,0.2659,119791.3072,15804.1543,0.7639
44,0,0,1,0,1,1,0,0,0.93,0.6918,0.342,0.7571,0.7834,0.3315,131063.583,15184.3223,0.7805
45,0,0,1,0,1,1,0,1,0.9239,0.6918,0.3262,0.7503,0.7691,0.3315,131063.8428,15162.0664,0.7719
46,0,0,1,0,1,1,1,0,0.9257,0.7894,0.3335,0.7452,0.7809,0.5544,92675.6222,15755.2871,0.7538
47,0,0,1,0,1,1,1,1,0.9244,0.826,0.3257,0.7482,0.7745,0.5752,76335.7814,15738.9678,0.7579
48,0,0,1,1,0,0,0,0,0.9149,0.6576,0.3459,0.7472,0.749,0.2515,120315.8462,15758.7461,0.7951
49,0,0,1,1,0,0,0,1,0.9185,0.6636,0.3488,0.7577,0.7549,0.2526,118855.5142,15773.6621,0.8071
50,0,0,1,1,0,0,1,0,0.9273,0.6781,0.3497,0.7541,0.7809,0.2543,115892.9291,16592.0605,0.7867
51,0,0,1,1,0,0,1,1,0.9268,0.6759,0.3495,0.7555,0.7799,0.2543,116259.013,16587.8887,0.7877
52,0,0,1,1,0,1,0,0,0.9196,0.6657,0.3443,0.7561,0.7541,0.2529,118867.3679,15737.0742,0.8037
53,0,0,1,1,0,1,0,1,0.9107,0.6513,0.3285,0.7407,0.7393,0.2476,121938.4964,15864.2412,0.7901
54,0,0,1,1,0,1,1,0,0.922,0.6661,0.3388,0.7436,0.7681,0.2497,118492.96,16619.7754,0.7789
55,0,0,1,1,0,1,1,1,0.9186,0.6707,0.3271,0.7393,0.7593,0.2501,117797.1566,16714.0938,0.7695
56,0,0,1,1,1,0,0,0,0.932,0.6333,0.3476,0.7679,0.7789,0.2244,141647.5264,15500.7148,0.7977
57,0,0,1,1,1,0,0,1,0.9312,0.6372,0.35,0.7666,0.7793,0.2282,140478.7596,15477.0322,0.7964
