,mean_head_loss,length,diameter,current_cost,evaluate_flag
L171,0.0706605,7.03,0.032,0.0,0
L2446,0.036701083,20.04,0.1,0.0,1
L1386,0.029475065,125.22,0.063,0.0,0
L1569,0.029051809,131.91,0.11,0.0,0
L360,0.02894557,6.08,0.02,0.0,0
L1388,0.027920589,116.81,0.063,0.0,0
L2043,0.027904272,15.86,0.02,0.0,0
L1273,0.027438637,4.56,0.05,161.028156,0
L407,0.026146248,3.36,0.02,1040.1945,0
L2525,0.026126461,124.48,0.11,0.0,0
L349,0.025966963,45.9,0.032,0.0,0
L1950,0.025633823,14.88,0.063,426.22200000000004,0
L2042,0.024869744,38.37,0.1,0.0,0
L1392,0.024789646,24.14,0.075,0.0,1
L2041,0.024206785,37.02,0.1,0.0,0
L2450,0.023699021,0.23,0.075,0.0,0
L1508,0.02160677,11.29,0.11,0.0,0
L1541,0.021476569,139.74,0.125,0.0,0
L636,0.021254057,64.06,0.02,0.0,0
L1009,0.020907024,21.33,0.02,0.0,0
L86,0.020539638,16.88,0.04,0.0,0
L1478,0.020386616,6.47,0.125,0.0,0
L1467,0.02037017,102.44,0.15,0.0,0
L362,0.020129042,83.08,0.02,0.0,0
L1473,0.019777792,7.29,0.125,0.0,0
L1568,0.019459099,22.09,0.11,0.0,0
L1592,0.019265972,24.03,0.11,0.0,0
L1227,0.019165505,76.63,0.09,0.0,0
L1156,0.019126032,30.06,0.2,0.0,0
L1503,0.01872751,283.97,0.063,0.0,0
L1450,0.017312964,22.55,0.075,0.0,0
L503,0.01660765,21.36,0.2,0.0,0
L175,0.016023407,15.94,0.02,0.0,0
L406,0.015850762,115.29,0.06,0.0,0
L2892,0.015704984,129.71,0.11,0.0,0
L319,0.015669437,18.32,0.02,0.0,0
L759,0.015595964,14.75,0.02,0.0,0
L366,0.015447936,49.34,0.02,0.0,0
L1385,0.015351119,108.51,0.063,0.0,0
L1507,0.015172766,14.51,0.11,0.0,0
L1638,0.015106011,103.75,0.075,0.0,0
L1637,0.015084962,2.37,0.075,0.0,0
L1382,0.014955217,112.73,0.11,0.0,1
L1498,0.014839933,36.02,0.125,0.0,0
L1521,0.014763236,10.83,0.075,0.0,0
L1479,0.014507703,26.58,0.125,0.0,0
L1519,0.0143660195,92.97,0.075,0.0,0
L1653,0.014358867,168.01,0.075,0.0,0
L382,0.014279966,1.09,0.032,0.0,0
L1539,0.014157498,13.08,0.075,0.0,0
L2508,0.014110575,101.67,0.075,0.0,0
L1526,0.013944377,3.01,0.11,0.0,0
L909,0.013820119,32.93,0.063,0.0,0
L147,0.013633115,63.88,0.032,0.0,0
L1540,0.013579109,58.26,0.125,0.0,0
L1635,0.013473218,16.14,0.11,0.0,0
L1634,0.013392119,1.23,0.11,257.53,1
L1381,0.0132683925,25.45,0.11,0.0,1
L33,0.013267358,13.45,0.06,0.0,0
L1482,0.013190191,73.74,0.125,0.0,0
L2754,0.012935104,44.16,0.11,0.0,0
L1510,0.012833581,9.29,0.063,0.0,0
L765,0.012617273,61.59,0.02,0.0,0
L410,0.012507285,79.56,0.032,0.0,0
L1480,0.012410178,6.11,0.125,0.0,0
L200,0.012326587,93.29,0.08,0.0,0
L192,0.011666406,19.96,0.02,0.0,0
L2887,0.011637596,23.49,0.125,0.0,0
L1949,0.011566706,170.96,0.09,0.0,0
L1345,0.011483194,7.5,0.032,0.0,0
L1387,0.011341204,89.81,0.11,0.0,1
L1524,0.011300621,50.97,0.125,0.0,0
L174,0.011268049,10.17,0.02,496.4525,0
L1168,0.011209412,53.6,0.063,0.0,0
L346,0.011036561,19.71,0.06,0.0,0
L764,0.011010195,19.22,0.02,0.0,0
L352,0.01090994,1.46,0.02,166.6475,0
L1779,0.010870296,2.76,0.04,0.0,0
L2861,0.010836063,22.31,0.063,0.0,0
L3118,0.010779102,30.63,0.02,0.0,0
L287,0.010647411,80.58,0.075,0.0,0
L350,0.010634641,2.55,0.032,0.0,0
L2230,0.010617987,0.51,0.075,0.0,0
L2084,0.010615964,78.74,0.02,0.0,0
L214,0.010580677,53.96,0.02,0.0,0
L264,0.010539438,66.99,0.06,0.0,0
L390,0.010387726,16.44,0.06,0.0,0
L379,0.010378925,13.16,0.02,0.0,0
L804,0.010251661,45.13,0.02,0.0,0
L1566,0.010111867,12.69,0.063,0.0,0
L1544,0.010089861,65.4,0.09,0.0,0
L1061,0.010086613,106.09,0.075,0.0,0
L752,0.01003522,15.64,0.032,0.0,0
L2458,0.009988207,6.09,0.35000000000000003,0.0,1
L1066,0.009951027,113.33,0.075,0.0,0
L2426,0.009933107,6.86,0.063,0.0,0
L2361,0.009871535,175.98,0.063,0.0,0
L311,0.009778497,36.27,0.02,0.0,0
L1548,0.009725574,191.0,0.075,0.0,0
L795,0.00972136,82.13,0.032,0.0,0
L474,0.009715335,56.01,0.06,0.0,0
L378,0.009317072,21.59,0.02,0.0,0
L240,0.009307636,3.73,0.06,0.0,0
L1027,0.00925717,63.01,0.032,0.0,0
L427,0.0092417775,6.95,0.02,0.0,0
L244,0.009209982,0.33,0.063,51.08525,0
L984,0.009178488,4.51,0.02,119.53249999999998,0
L2843,0.009049938,28.97,0.063,0.0,0
L1152,0.009007983,10.01,0.075,0.0,0
L342,0.008952506,63.95,0.06,0.0,0
L58,0.008809654,138.1,0.06,0.0,0
