element,action,new_diameter_m,d_cost,so,1,2,3,4,5,6,7,8,9,leak_pipe_diameter_mm,d_benefit,mb
L3267,pipe,0.4,80.82300000000004,8.937860241973363,0.9307729079655814,0.7298344487495597,0.30507352782209374,0.7618387673011225,0.7820236627585165,0.32863684395914056,117383.78837545989,16659.138671875,0.7823956735831691,,0.06213975802663718,0.0007688375589453145
L1519,pipe,0.125,3288.81375,8.711673415984825,0.921092688572435,0.7453328636843959,0.32857168224343714,0.7481140332754157,0.7514230467636156,0.32053539978865797,110931.70349910526,16845.271484375,0.7669626436414173,,0.2883265840151754,8.766886966924638e-05
Leak_1755,leak,,2552.6004835081358,8.779823544960742,0.9228685486170516,0.744628390278267,0.3354790386622166,0.7495543570086775,0.753371460859793,0.3187742162733357,111443.74952670379,16868.759765625,0.7692666244734891,110.0,0.2201764550392582,8.62557444699146e-05
Leak_2430,leak,,1885.911860016346,8.837418604028969,0.9186479981214043,0.7414582599506868,0.33084591386571033,0.7405715413472869,0.7472090482899747,0.31736526946107785,112296.1019549672,16868.49609375,0.7564656881742619,110.0,0.16258139597103138,8.620837453645485e-05
Leak_3122,leak,,1961.809409718084,8.830976439314547,0.9188723393549036,0.7418104966537513,0.33092612998529664,0.7423650961164603,0.7483070623458964,0.3201831630855935,112271.40052575916,16845.73046875,0.7592522330760936,63.0,0.16902356068545288,8.615697317393432e-05
Leak_259,leak,,1865.3521577357697,8.839666006635046,0.9202854794612456,0.7414582599506868,0.3326493789232645,0.7447532219802752,0.749927456012345,0.3187742162733357,112308.04881747907,16846.171875,0.7625079009253863,75.0,0.16033399336495435,8.595373945881266e-05
Leak_1416,leak,,2432.932324340645,8.791754314576243,0.9223339036213287,0.7453328636843959,0.33480444696635353,0.748826981780699,0.7525915605763264,0.31912645297640013,111355.57002038392,16868.880859375,0.7682226089069798,75.0,0.20824568542375665,8.559452449224778e-05
L474,pipe,0.063,1961.5266740000002,8.832111797557314,0.9203504755195492,0.7421627333568158,0.33263515294440943,0.746662749706308,0.7498692740569282,0.31736526946107785,112180.81085259082,16868.640625,0.7652277537122034,,0.1678882024426862,8.559057833270444e-05
Leak_1778,leak,,2389.4317555562557,8.795964878352635,0.9223380969154129,0.7453328636843959,0.33473284795025643,0.7484077121420626,0.7524939616565189,0.31912645297640013,111374.12874131191,16868.78515625,0.7676855715598909,75.0,0.20403512164736526,8.539064619565426e-05
L2737,pipe,0.075,1823.0637500000003,8.845245816616515,0.9201617772857646,0.7411060232476224,0.33324615713545225,0.7436297269710084,0.7497449428873346,0.31736526946107785,112302.43596034046,16857.0078125,0.7608733658191574,,0.1547541833834849,8.488687429799692e-05
