element,action,new_diameter_m,d_cost,so,1,2,3,4,5,6,7,8,9,leak_pipe_diameter_mm,d_benefit,mb,iter
L1950,pipe,0.075,426.222,8.943140302,0.909749828,0.668545262,0.369922599,0.71866132,0.7347796,0.286720676,137993.6565,16848.02148,0.735419759,,0.056859698,0.000133404,1
L244,pipe,0.075,51.08525,8.993454322,0.904049045,0.649172244,0.366092621,0.70613501,0.729438392,0.282141599,145752.442,16847.61133,0.719236609,,0.006545678,0.000128132,1
L2435,pipe,0.075,133.304,8.9852832,0.908305238,0.668193026,0.370109936,0.714416564,0.734783689,0.286720676,138026.6693,16846.35742,0.730159928,,0.0147168,0.0001104,1
L277,pipe,0.075,85.72675,8.990894745,0.904726262,0.668193026,0.365162566,0.711028185,0.728984258,0.286720676,138030.6418,16847.00977,0.725319665,,0.009105255,0.000106213,1
L984,pipe,0.05,119.5325,8.98775487,0.904256613,0.668193026,0.363995259,0.712486626,0.72790438,0.286720676,138032.1744,16847.47852,0.727257497,,0.01224513,0.000102442,1
L2836,pipe,0.125,150.34375,8.985678275,0.902677838,0.649172244,0.363225755,0.709624208,0.726715739,0.282141599,145762.6599,16847.82422,0.723968148,,0.014321725,9.53E-05,1
Leak_1815,leak,,447.8274509,8.965136359,0.907577702,0.668193026,0.362746286,0.717554153,0.7331493,0.286720676,138023.1045,16847.39648,0.734473186,75,0.034863641,7.79E-05,1
Leak_2651,leak,,1255.033302,8.903184417,0.909525487,0.64952448,0.370047421,0.721374494,0.73860986,0.282493836,145697.6357,16844.26758,0.740669935,150,0.096815583,7.71E-05,1
L2848,pipe,0.2,243.152,8.981624384,0.902491236,0.667488552,0.361731882,0.71147916,0.725064472,0.28636844,138110.8347,16847.95703,0.725979715,,0.018375616,7.56E-05,1
L2310,pipe,0.125,198.8075,8.985855367,0.902711384,0.649172244,0.363291014,0.709676994,0.726780368,0.282141599,145741.143,16847.82422,0.724039382,,0.014144633,7.11E-05,1
Leak_508,leak,,811.2217198,8.946006569,0.909393398,0.668193026,0.366121181,0.717928185,0.735273675,0.286720676,138018.5288,16847.06836,0.734467152,110,0.053993431,6.66E-05,1
L315,pipe,0.05,210.098,8.98602987,0.90344521,0.668193026,0.363378515,0.710311714,0.72702274,0.286720676,138015.3328,16847.81641,0.724126467,,0.01397013,6.65E-05,1
L1425,pipe,0.15,242.151,8.985722643,0.902690417,0.649172244,0.363242104,0.709630583,0.726723287,0.282141599,145743.7804,16847.82813,0.723972878,,0.014277357,5.90E-05,1
L792,pipe,0.05,134.1905,8.992169475,0.904015498,0.649172244,0.365617784,0.708165991,0.729124052,0.282141599,145748.8948,16847.8125,0.722081454,,0.007830525,5.84E-05,1
L2807,pipe,0.075,661.03875,8.961615666,0.908512806,0.649172244,0.368867911,0.718354948,0.733619211,0.282141599,145752.5222,16848.23828,0.735849671,,0.038384334,5.81E-05,1
L1363,pipe,0.05,138.0295,8.992201591,0.904411765,0.649172244,0.365629619,0.710173039,0.730314476,0.282493836,145734.9444,16857.82227,0.725056436,,0.007798409,5.65E-05,1
Leak_818,leak,,1070.26925,8.940400132,0.910039165,0.649172244,0.369937762,0.7175787,0.736662337,0.282141599,145737.2998,16834.60547,0.734578317,100,0.059599868,5.57E-05,1
L617,pipe,0.075,442.008,8.978925676,0.908865043,0.668193026,0.368931688,0.716257481,0.733408603,0.287072913,138022.6429,16848.45313,0.732237424,,0.021074324,4.77E-05,1
L3069,pipe,0.125,310.94625,8.985816056,0.903032171,0.668193026,0.363276528,0.708151564,0.726533173,0.286016203,138106.978,16847.9082,0.721304872,,0.014183944,4.56E-05,1
L2315,pipe,0.1,237.15,8.989719796,0.904776581,0.668193026,0.36472152,0.713223508,0.72875824,0.286720676,138032.1413,16847.37891,0.728347844,,0.010280204,4.33E-05,1
Leak_3546,leak,,789.7646677,8.967610875,0.90812912,0.64952448,0.367977112,0.71650061,0.73643071,0.282846073,145701.0314,16832.94531,0.733655148,60,0.032389125,4.10E-05,1
Leak_1899,leak,,2369.715699,8.911091602,0.910544457,0.668193026,0.370819908,0.720544902,0.73689019,0.286720676,138016.4333,16846.99023,0.73813418,75,0.088908398,3.75E-05,1
L813,pipe,0.075,253.453,8.990652134,0.908066221,0.668193026,0.369373653,0.713836643,0.734050858,0.286720676,138025.921,16847,0.728918184,,0.009347866,3.69E-05,1
L1273,pipe,0.063,161.028156,8.994117233,0.90530913,0.668193026,0.366344468,0.71002318,0.730186843,0.286720676,138029.8172,16847.26563,0.723694623,,0.005882767,3.65E-05,1
L352,pipe,0.05,166.6475,8.993962674,0.90779156,0.668193026,0.369393926,0.713753214,0.733951215,0.286720676,138036.5121,16846.47656,0.729177908,,0.006037326,3.62E-05,1
L2847,pipe,0.15,1034.242,8.963944075,0.909322112,0.667488552,0.36948047,0.717256895,0.734065063,0.286720676,138427.3324,16848.01172,0.733464542,,0.036055925,3.49E-05,1
Leak_1730,leak,,1691.415613,8.94213837,0.909018098,0.649172244,0.369184476,0.718175229,0.737298145,0.282141599,145739.0142,16855.24414,0.736078786,140,0.05786163,3.42E-05,1
L286,pipe,0.075,206.75275,8.993225825,0.907959292,0.668193026,0.36907415,0.713654073,0.733671627,0.286720676,138026.3664,16846.93555,0.728893259,,0.006774175,3.28E-05,1
